# file...... Output/hvac/house_hvac_file_037.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_25B_tm_3_B_25_Meter_64_721:hvac_load,house_3_26B_tm_3_B_26_Meter_64_722:hvac_load,house_3_27B_tm_3_B_27_Meter_64_723:hvac_load,house_3_28B_tm_3_B_28_Meter_64_724:hvac_load,house_3_1A_tm_3_A_1_Meter_65_725:hvac_load,house_3_2A_tm_3_A_2_Meter_65_726:hvac_load,house_3_3A_tm_3_A_3_Meter_65_727:hvac_load,house_3_4A_tm_3_A_4_Meter_65_728:hvac_load,house_3_5A_tm_3_A_5_Meter_65_729:hvac_load,house_3_1B_tm_3_B_1_Meter_65_730:hvac_load,house_3_2B_tm_3_B_2_Meter_65_731:hvac_load,house_3_3B_tm_3_B_3_Meter_65_732:hvac_load,house_3_4B_tm_3_B_4_Meter_65_733:hvac_load,house_3_5B_tm_3_B_5_Meter_65_734:hvac_load,house_3_1C_tm_3_C_1_Meter_65_735:hvac_load,house_3_2C_tm_3_C_2_Meter_65_736:hvac_load,house_3_3C_tm_3_C_3_Meter_65_737:hvac_load,house_3_4C_tm_3_C_4_Meter_65_738:hvac_load,house_3_5C_tm_3_C_5_Meter_65_739:hvac_load,house_3_6C_tm_3_C_6_Meter_65_740:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.71940047643,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.71906165509,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.71794002456,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.0086290657,+0,+0,+1.71721121487,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.01013943909,+3.86426511087,+0,+0,+0,+3.84816038391,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.01390146988,+3.86668403445,+0,+0,+0,+3.85109430814,+0,+0,+0,+0,+0
