# file...... Output/hvac/house_hvac_file_039.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_17C_tm_3_C_17_Meter_66_761:hvac_load,house_3_18C_tm_3_C_18_Meter_66_762:hvac_load,house_3_19C_tm_3_C_19_Meter_66_763:hvac_load,house_3_20C_tm_3_C_20_Meter_66_764:hvac_load,house_3_21C_tm_3_C_21_Meter_66_765:hvac_load,house_3_22C_tm_3_C_22_Meter_66_766:hvac_load,house_3_23C_tm_3_C_23_Meter_66_767:hvac_load,house_3_24C_tm_3_C_24_Meter_66_768:hvac_load,house_3_25C_tm_3_C_25_Meter_66_769:hvac_load,house_3_26C_tm_3_C_26_Meter_66_770:hvac_load,house_3_27C_tm_3_C_27_Meter_66_771:hvac_load,house_3_28C_tm_3_C_28_Meter_66_772:hvac_load,house_3_1A_tm_3_A_1_Meter_68_773:hvac_load,house_3_2A_tm_3_A_2_Meter_68_774:hvac_load,house_3_3A_tm_3_A_3_Meter_68_775:hvac_load,house_3_4A_tm_3_A_4_Meter_68_776:hvac_load,house_3_5A_tm_3_A_5_Meter_68_777:hvac_load,house_3_6A_tm_3_A_6_Meter_68_778:hvac_load,house_3_7A_tm_3_A_7_Meter_68_779:hvac_load,house_3_8A_tm_3_A_8_Meter_68_780:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.47793030641,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.48415321783,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+1.2863371473,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.47509281319,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+1.28570983844,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.50141828599,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+1.28477797783,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.49686620237,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+1.28433198846,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29866671281,+6.49204736338,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.70176496856,+0,+0,+0,+0,+1.29958227056,+6.49662402765,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+3.42203912576,+0,+3.42182221904,+0,+0,+0,+4.70511656226,+0,+0,+0,+0,+1.3005419859,+6.50142142577,+0,+0
