# file...... Output/hvac/house_hvac_file_043.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_8C_tm_3_C_8_Meter_74_841:hvac_load,house_3_9C_tm_3_C_9_Meter_74_842:hvac_load,house_3_10C_tm_3_C_10_Meter_74_843:hvac_load,house_3_11C_tm_3_C_11_Meter_74_844:hvac_load,house_3_12C_tm_3_C_12_Meter_74_845:hvac_load,house_3_13C_tm_3_C_13_Meter_74_846:hvac_load,house_3_14C_tm_3_C_14_Meter_74_847:hvac_load,house_3_15C_tm_3_C_15_Meter_74_848:hvac_load,house_3_1C_tm_3_C_1_Meter_75_849:hvac_load,house_3_2C_tm_3_C_2_Meter_75_850:hvac_load,house_3_3C_tm_3_C_3_Meter_75_851:hvac_load,house_3_4C_tm_3_C_4_Meter_75_852:hvac_load,house_3_5C_tm_3_C_5_Meter_75_853:hvac_load,house_3_6C_tm_3_C_6_Meter_75_854:hvac_load,house_3_7C_tm_3_C_7_Meter_75_855:hvac_load,house_3_8C_tm_3_C_8_Meter_75_856:hvac_load,house_3_9C_tm_3_C_9_Meter_75_857:hvac_load,house_3_10C_tm_3_C_10_Meter_75_858:hvac_load,house_3_11C_tm_3_C_11_Meter_75_859:hvac_load,house_3_12C_tm_3_C_12_Meter_75_860:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60154627844,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+6.49687742794,+0,+2.59857013176,+3.03138374099,+0,+0,+2.59842108048,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+6.48947605148,+0,+2.59561018599,+3.0279309084,+0,+0,+2.59546135957,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+6.05244569152,+0,+0,+0,+0,+0,+0,+6.48481722931,+0,+2.59379606189,+3.0258146985,+0,+0,+2.59364737331,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+6.04742852344,+0,+0,+0,+0,+0,+0,+6.47944162404,+0,+2.59164617966,+3.02330682055,+0,+0,+2.59149765449,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+6.06224933668,+0,+0,+0,+0,+0,+0,+6.49532126767,+0,+2.5979897643,+3.03073714731,+0,+0,+2.59784075712,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+6.0544276771,+0,+0,+0,+0,+0,+0,+6.48694081216,+0,+0,+3.02701201987,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+6.05859435411,+0,+0,+0,+0,+0,+0,+6.49140516542,+0,+0,+3.02896332824,+0,+0,+0,+6.05740764204,+0,+0,+0,+0,+0
