# file...... Output/hvac/house_hvac_file_044.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13C_tm_3_C_13_Meter_75_861:hvac_load,house_3_14C_tm_3_C_14_Meter_75_862:hvac_load,house_3_15C_tm_3_C_15_Meter_75_863:hvac_load,house_3_1A_tm_3_A_1_Meter_76_864:hvac_load,house_3_2A_tm_3_A_2_Meter_76_865:hvac_load,house_3_3A_tm_3_A_3_Meter_76_866:hvac_load,house_3_4A_tm_3_A_4_Meter_76_867:hvac_load,house_3_5A_tm_3_A_5_Meter_76_868:hvac_load,house_3_6A_tm_3_A_6_Meter_76_869:hvac_load,house_3_7A_tm_3_A_7_Meter_76_870:hvac_load,house_3_8A_tm_3_A_8_Meter_76_871:hvac_load,house_3_9A_tm_3_A_9_Meter_76_872:hvac_load,house_3_10A_tm_3_A_10_Meter_76_873:hvac_load,house_3_11A_tm_3_A_11_Meter_76_874:hvac_load,house_3_12A_tm_3_A_12_Meter_76_875:hvac_load,house_3_13A_tm_3_A_13_Meter_76_876:hvac_load,house_3_14A_tm_3_A_14_Meter_76_877:hvac_load,house_3_15A_tm_3_A_15_Meter_76_878:hvac_load,house_3_16A_tm_3_A_16_Meter_76_879:hvac_load,house_3_17A_tm_3_A_17_Meter_76_880:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+5.61224436245,+0,+1.72719340346,+0,+0,+0,+0,+0,+0,+5.18028206136,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+2.16810721738,+0,+0,+0,+0,+5.61326631987,+0,+1.72750793439,+0,+6.04536141053,+0,+0,+1.29562436787,+0,+5.18122534649,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+2.16550265256,+0,+0,+0,+0,+5.61902749594,+0,+1.72928106885,+0,+6.05156617216,+0,+0,+1.29695420384,+0,+5.18654301611,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+2.1630359975,+0,+0,+0,+0,+5.61116593382,+0,+1.72686149221,+4.31676533845,+6.04314466377,+0,+0,+1.29513954166,+0,+5.17928665226,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+2.16152420684,+0,+0,+0,+0,+5.63382958434,+0,+0,+4.33423042438,+6.06755368218,+0,+0,+1.30037092758,+4.3339667597,+5.20020561171,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+2.15973261394,+0,+0,+0,+0,+5.62954208864,+0,+0,+4.33093182982,+6.06293599918,+0,+2.59851495661,+0,+4.33066843809,+5.19624817546,+5.62905931741,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+2.16501900642,+0,+0,+0,+0,+5.6251439024,+0,+0,+4.32754807507,+6.05819910101,+0,+2.59648476075,+0,+4.32728496344,+5.1921885699,+5.62466163017,+0,+5.6246925113,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+5.62923764179,+0,+0,+4.33069760293,+6.06260810635,+0,+2.59837442441,+0,+4.33043423059,+5.1959671655,+5.62875490511,+0,+5.62878579798,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+5.63338420855,+0,+5.63327630202,+0,+0,+4.33380475535,+6.06695779064,+0,+2.60023866356,+0,+4.3335411259,+0,+5.63279310725,+0,+5.63282401175,+0,+0
