# file...... Output/hvac/house_hvac_file_046.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_12B_tm_3_B_12_Meter_76_901:hvac_load,house_3_13B_tm_3_B_13_Meter_76_902:hvac_load,house_3_14B_tm_3_B_14_Meter_76_903:hvac_load,house_3_15B_tm_3_B_15_Meter_76_904:hvac_load,house_3_16B_tm_3_B_16_Meter_76_905:hvac_load,house_3_17B_tm_3_B_17_Meter_76_906:hvac_load,house_3_1C_tm_3_C_1_Meter_76_907:hvac_load,house_3_2C_tm_3_C_2_Meter_76_908:hvac_load,house_3_3C_tm_3_C_3_Meter_76_909:hvac_load,house_3_4C_tm_3_C_4_Meter_76_910:hvac_load,house_3_5C_tm_3_C_5_Meter_76_911:hvac_load,house_3_6C_tm_3_C_6_Meter_76_912:hvac_load,house_3_7C_tm_3_C_7_Meter_76_913:hvac_load,house_3_8C_tm_3_C_8_Meter_76_914:hvac_load,house_3_9C_tm_3_C_9_Meter_76_915:hvac_load,house_3_10C_tm_3_C_10_Meter_76_916:hvac_load,house_3_11C_tm_3_C_11_Meter_76_917:hvac_load,house_3_12C_tm_3_C_12_Meter_76_918:hvac_load,house_3_13C_tm_3_C_13_Meter_76_919:hvac_load,house_3_14C_tm_3_C_14_Meter_76_920:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+4.34090811549,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+4.33936416882,+0,+0,+0,+0,+0,+0,+0,+5.62867005905,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+4.33843837329,+0,+0,+0,+0,+0,+0,+0,+5.62530272583,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+4.33528677588,+0,+0,+0,+0,+0,+0,+0,+5.62045917647,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+4.3336260607,+0,+0,+0,+0,+0,+0,+0,+5.63396708234,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+4.33532137148,+0,+0,+0,+0,+0,+0,+0,+5.62605240484,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+4.3375508743,+0,+0,+0,+0,+0,+0,+0,+5.63042699533,+0,+0,+0,+0,+0,+0,+0,+0,+0
