# file...... Output/hvac/house_hvac_file_047.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_76_921:hvac_load,house_3_16C_tm_3_C_16_Meter_76_922:hvac_load,house_3_17C_tm_3_C_17_Meter_76_923:hvac_load,house_3_1B_tm_3_B_1_Meter_77_924:hvac_load,house_3_2B_tm_3_B_2_Meter_77_925:hvac_load,house_3_3B_tm_3_B_3_Meter_77_926:hvac_load,house_3_4B_tm_3_B_4_Meter_77_927:hvac_load,house_3_5B_tm_3_B_5_Meter_77_928:hvac_load,house_3_6B_tm_3_B_6_Meter_77_929:hvac_load,house_3_7B_tm_3_B_7_Meter_77_930:hvac_load,house_3_8B_tm_3_B_8_Meter_77_931:hvac_load,house_3_9B_tm_3_B_9_Meter_77_932:hvac_load,house_3_10B_tm_3_B_10_Meter_77_933:hvac_load,house_3_11B_tm_3_B_11_Meter_77_934:hvac_load,house_3_12B_tm_3_B_12_Meter_77_935:hvac_load,house_3_13B_tm_3_B_13_Meter_77_936:hvac_load,house_3_14B_tm_3_B_14_Meter_77_937:hvac_load,house_3_15B_tm_3_B_15_Meter_77_938:hvac_load,house_3_1A_tm_3_A_1_Meter_79_939:hvac_load,house_3_2A_tm_3_A_2_Meter_79_940:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+1.73725076874,+0,+0,+0,+0,+2.17156041103,+0,+0,+0,+0,+3.4741342585,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+1.73784358866,+0,+0,+0,+0,+2.17230143668,+0,+0,+0,+0,+3.47531973649,+0,+0,+0,+0,+2.59055067419
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+1.73630448817,+0,+0,+0,+0,+2.17037755913,+0,+0,+0,+0,+3.47224195582,+0,+0,+0,+0,+2.59323360724
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+1.73572434947,+0,+0,+0,+0,+2.16965238501,+0,+0,+0,+0,+3.47108183681,+0,+0,+0,+0,+2.58959013886
2010-08-16 00:02:30 UTC,+0,+3.02982868886,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47036663315,+0,+0,+0,+0,+2.59993717007
2010-08-16 00:03:00 UTC,+0,+3.02677497721,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16761375246,+3.46786559278,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+3.0340496837,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16674904436,+3.46648222031,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+3.02978722036,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16764118516,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+3.03214316374,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16878377407,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16790782474,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34099758421,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.90419256378,+0,+0,+4.3382695169,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.9045032636,+0,+0,+4.33861477006,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.9039831022,+0,+0,+4.33803676081,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.9075316253,+0,+0,+4.3419799199,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.9068662269,+0,+0,+4.34124052166,+0,+0,+0,+0,+0,+3.03903554426,+0,+0,+2.61498691513
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.90899106099,+0,+0,+4.34360166132,+0,+0,+0,+0,+0,+3.04068844015,+0,+0,+2.61540166948
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.90834526137,+0,+0,+0,+0,+0,+0,+0,+0,+3.04018607644,+0,+0,+2.61783588867
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04147009148,+0,+0,+2.61795162427
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04402597407,+0,+0,+2.61542149489
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04520831581,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04490457425,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.77959999795,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+3.04862950291,+0,+0,+1.73811936951,+0,+0,+0,+0,+0,+0,+4.77932350472,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+3.05085374655,+0,+0,+1.73635333714,+4.77443987986,+0,+0,+0,+0,+0,+4.77450686816,+0,+2.17042265733,+3.47236701644,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+3.05296767471,+0,+0,+1.73560034412,+4.77236943294,+0,+0,+0,+0,+0,+4.77243637972,+0,+2.1694814249,+3.47086121261,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+3.05279216569,+0,+0,+1.73594159838,+4.77330775359,+0,+0,+0,+0,+0,+4.77337471918,+0,+2.16990798873,+3.47154363861,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+3.05432201929,+0,+0,+0,+4.77429943582,+0,+0,+0,+2.17038330462,+0,+4.7743664213,+0,+2.17035881094,+3.47226487367,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+4.77769620442,+0,+0,+0,+2.17192751554,+0,+4.77776325798,+0,+2.1719029938,+3.47473529062,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+4.77827111137,+0,+0,+0,+2.17218887499,+0,+0,+0,+0,+3.4751534115,+0,+0,+0,+5.66130868038,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+4.77925817311,+0,+0,+0,+2.17263760485,+0,+0,+0,+0,+3.47587128615,+0,+0,+0,+5.65822440276,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+4.78247489853,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.66114797057,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.66095923601,+2.6132265714
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.66285081912,+2.61409981029
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.65930714836,+2.61246389431
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.66222370267,+2.61381030544
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.66502544368,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17427331211,+0,+0,+0,+0,+0,+0,+0
