# file...... Output/hvac/house_hvac_file_048.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3A_tm_3_A_3_Meter_79_941:hvac_load,house_3_4A_tm_3_A_4_Meter_79_942:hvac_load,house_3_5A_tm_3_A_5_Meter_79_943:hvac_load,house_3_6A_tm_3_A_6_Meter_79_944:hvac_load,house_3_7A_tm_3_A_7_Meter_79_945:hvac_load,house_3_8A_tm_3_A_8_Meter_79_946:hvac_load,house_3_9A_tm_3_A_9_Meter_79_947:hvac_load,house_3_10A_tm_3_A_10_Meter_79_948:hvac_load,house_3_11A_tm_3_A_11_Meter_79_949:hvac_load,house_3_12A_tm_3_A_12_Meter_79_950:hvac_load,house_3_13A_tm_3_A_13_Meter_79_951:hvac_load,house_3_14A_tm_3_A_14_Meter_79_952:hvac_load,house_3_15A_tm_3_A_15_Meter_79_953:hvac_load,house_3_1B_tm_3_B_1_Meter_80_954:hvac_load,house_3_2B_tm_3_B_2_Meter_80_955:hvac_load,house_3_3B_tm_3_B_3_Meter_80_956:hvac_load,house_3_4B_tm_3_B_4_Meter_80_957:hvac_load,house_3_5B_tm_3_B_5_Meter_80_958:hvac_load,house_3_6B_tm_3_B_6_Meter_80_959:hvac_load,house_3_7B_tm_3_B_7_Meter_80_960:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3167723206,+0,+0,+0,+0,+0,+0,+0,+3.47347864682,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+3.45363486036,+0,+0,+4.31725680447,+0,+0,+0,+0,+0,+0,+0,+3.4747122476,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+3.45721150688,+0,+0,+4.32172791704,+0,+0,+0,+0,+0,+0,+0,+3.47163742556,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+3.45235436059,+0,+0,+4.31565607072,+0,+0,+0,+0,+0,+0,+0,+3.47051835733,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+3.46614809868,+0,+6.49819026047,+4.33289941675,+0,+0,+0,+0,+0,+0,+0,+3.46952093016,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+3.46366446753,+0,+6.49353416652,+4.3297946667,+0,+0,+0,+0,+0,+0,+0,+3.46716992775,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,+3.46115722479,+0,+6.4888338077,+4.32666040008,+0,+0,+0,+0,+3.89893770665,+0,+0,+3.46570602065,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.49431846726,+4.33031764964,+0,+0,+0,+0,+3.90055616061,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.49932971961,+0,+0,+0,+0,+0,+3.90278841913,+0,+0,+0,+0,+0
