# file...... Output/hvac/house_hvac_file_049.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_8B_tm_3_B_8_Meter_80_961:hvac_load,house_3_9B_tm_3_B_9_Meter_80_962:hvac_load,house_3_10B_tm_3_B_10_Meter_80_963:hvac_load,house_3_11B_tm_3_B_11_Meter_80_964:hvac_load,house_3_12B_tm_3_B_12_Meter_80_965:hvac_load,house_3_13B_tm_3_B_13_Meter_80_966:hvac_load,house_3_14B_tm_3_B_14_Meter_80_967:hvac_load,house_3_15B_tm_3_B_15_Meter_80_968:hvac_load,house_3_1A_tm_3_A_1_Meter_82_969:hvac_load,house_3_2A_tm_3_A_2_Meter_82_970:hvac_load,house_3_3A_tm_3_A_3_Meter_82_971:hvac_load,house_3_4A_tm_3_A_4_Meter_82_972:hvac_load,house_3_5A_tm_3_A_5_Meter_82_973:hvac_load,house_3_6A_tm_3_A_6_Meter_82_974:hvac_load,house_3_7A_tm_3_A_7_Meter_82_975:hvac_load,house_3_8A_tm_3_A_8_Meter_82_976:hvac_load,house_3_9A_tm_3_A_9_Meter_82_977:hvac_load,house_3_10A_tm_3_A_10_Meter_82_978:hvac_load,house_3_11A_tm_3_A_11_Meter_82_979:hvac_load,house_3_12A_tm_3_A_12_Meter_82_980:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+4.78238840298,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59475746309,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+4.77597150041,+0,+3.03953848948,+0,+3.47376498557,+0,+0,+0,+0,+0,+0,+2.15847919233,+0,+0,+2.59023034516,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+4.77766767256,+0,+3.04061800124,+0,+3.47499871342,+0,+0,+0,+0,+0,+0,+2.15869526739,+2.59046948836,+0,+2.59048964418,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+4.77343986435,+0,+3.03792725502,+0,+3.47192357457,+0,+0,+0,+0,+0,+0,+2.16097102804,+2.59320046022,+0,+2.59322065116,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+4.77190117175,+0,+3.03694796955,+0,+3.47082458506,+2.58946551198,+0,+0,+0,+0,+0,+2.15783453922,+2.58943659219,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+6.07145327088,+0,+4.77052973279,+0,+3.03607513093,+0,+3.46982704361,+2.60010663102,+0,+0,+0,+0,+0,+2.16670178635,+2.60007751876,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+6.06733918531,+0,+4.76729715961,+0,+0,+0,+3.46747577179,+2.59811502242,+0,+0,+5.6283293331,+0,+1.29914746451,+0,+2.59808594613,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+6.0647774529,+0,+4.76528432169,+0,+0,+0,+0,+2.59649959772,+0,+0,+5.62482998478,+0,+1.29833968062,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+6.06729493659,+0,+4.76726239192,+0,+0,+0,+0,+2.59901162833,+0,+0,+5.63027156941,+0,+1.29959580717,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+6.07076718511,+0,+0,+0,+0,+0,+0,+2.60096335079,+0,+0,+5.63449940944,+0,+1.30057175481,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:00 UTC,+5.20133852218,+6.06798823476,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.64358496452,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:30 UTC,+5.20945156729,+6.07745301674,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.64845193838,+0,+0,+0,+0,+0,+0,+0,+4.77937758669
2010-08-16 00:06:00 UTC,+5.20806805842,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.64991644917,+0,+0,+0,+0,+0,+0,+0,+4.78061676702
2010-08-16 00:06:30 UTC,+5.20855873993,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.65132862843,+0,+0,+0,+0,+0,+0,+0,+4.78181166759
2010-08-16 00:07:00 UTC,+5.2053631595,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.79238018892
2010-08-16 00:07:30 UTC,+5.20583477006,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7953775781
2010-08-16 00:08:00 UTC,+5.20517396211,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.79336420012
2010-08-16 00:08:30 UTC,+5.21002691924,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61417138495,+0,+4.79179734067
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.6148750655,+0,+4.79308713479
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.615289344,+0,+4.79384647649
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61790363517,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.6179712161,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61549705834,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61732476378,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61691546292,+0,+0,+0,+0,+2.18065594635,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.18266528165,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.18414458566,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+3.04144201834,+0,+0,+0,+0,+0,+0,+0,+0,+2.18689279643,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+3.04131269284,+0,+0,+0,+0,+0,+0,+0,+0,+2.18781513785,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+3.03830710532,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+3.03698268568,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+3.03756956929,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.47482261018,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.47517607493,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.47579593417,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61213996557,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.47805281316,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61358418769,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.48084719528,+0,+0,+0,+0,+0,+0,+0,+2.6135766161,+0,+2.61359435713,+0,+0
