# file...... Output/hvac/house_hvac_file_050.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13A_tm_3_A_13_Meter_82_981:hvac_load,house_3_14A_tm_3_A_14_Meter_82_982:hvac_load,house_3_15A_tm_3_A_15_Meter_82_983:hvac_load,house_3_1C_tm_3_C_1_Meter_83_984:hvac_load,house_3_2C_tm_3_C_2_Meter_83_985:hvac_load,house_3_3C_tm_3_C_3_Meter_83_986:hvac_load,house_3_4C_tm_3_C_4_Meter_83_987:hvac_load,house_3_5C_tm_3_C_5_Meter_83_988:hvac_load,house_3_6C_tm_3_C_6_Meter_83_989:hvac_load,house_3_7C_tm_3_C_7_Meter_83_990:hvac_load,house_3_8C_tm_3_C_8_Meter_83_991:hvac_load,house_3_1C_tm_3_C_1_Meter_84_992:hvac_load,house_3_2C_tm_3_C_2_Meter_84_993:hvac_load,house_3_3C_tm_3_C_3_Meter_84_994:hvac_load,house_3_4C_tm_3_C_4_Meter_84_995:hvac_load,house_3_5C_tm_3_C_5_Meter_84_996:hvac_load,house_3_6C_tm_3_C_6_Meter_84_997:hvac_load,house_3_7C_tm_3_C_7_Meter_84_998:hvac_load,house_3_8C_tm_3_C_8_Meter_84_999:hvac_load,house_3_1C_tm_3_C_1_Meter_85_1000:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.73350354071,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.73155211894,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+4.32557314165,+0,+1.7303649864,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4.32130050796,+0,+1.72865576419,+0,+0,+0,+0,+0,+0,+3.8877151432,+0,+0,+2.59146574373
2010-08-16 00:03:30 UTC,+0,+0,+0,+6.0644765434,+0,+0,+0,+4.33118805458,+0,+0,+0,+0,+0,+0,+0,+0,+3.89584037423,+0,+0,+2.59647498429
2010-08-16 00:04:00 UTC,+0,+0,+0,+6.05227892247,+0,+0,+4.32319469243,+4.32328664728,+0,+0,+0,+6.04832672662,+0,+0,+0,+0,+3.88867611338,+0,+0,+2.59179309969
2010-08-16 00:04:30 UTC,+0,+0,+0,+6.05683433422,+0,+0,+4.32644868014,+4.32654071072,+0,+0,+0,+6.05287763846,+0,+0,+0,+0,+3.8916021432,+0,+0,+2.59374289903
