# file...... Output/hvac/house_hvac_file_052.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_7B_tm_3_B_7_Meter_86_1021:hvac_load,house_3_8B_tm_3_B_8_Meter_86_1022:hvac_load,house_3_1B_tm_3_B_1_Meter_87_1023:hvac_load,house_3_2B_tm_3_B_2_Meter_87_1024:hvac_load,house_3_3B_tm_3_B_3_Meter_87_1025:hvac_load,house_3_4B_tm_3_B_4_Meter_87_1026:hvac_load,house_3_5B_tm_3_B_5_Meter_87_1027:hvac_load,house_3_6B_tm_3_B_6_Meter_87_1028:hvac_load,house_3_7B_tm_3_B_7_Meter_87_1029:hvac_load,house_3_8B_tm_3_B_8_Meter_87_1030:hvac_load,house_3_9B_tm_3_B_9_Meter_87_1031:hvac_load,house_3_10B_tm_3_B_10_Meter_87_1032:hvac_load,house_3_11B_tm_3_B_11_Meter_87_1033:hvac_load,house_3_12B_tm_3_B_12_Meter_87_1034:hvac_load,house_3_13B_tm_3_B_13_Meter_87_1035:hvac_load,house_3_14B_tm_3_B_14_Meter_87_1036:hvac_load,house_3_15B_tm_3_B_15_Meter_87_1037:hvac_load,house_3_1A_tm_3_A_1_Meter_88_1038:hvac_load,house_3_2A_tm_3_A_2_Meter_88_1039:hvac_load,house_3_3A_tm_3_A_3_Meter_88_1040:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.4729899327,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.07882028702,+3.47371642473,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.07308153087,+3.47041136189,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.07055632954,+3.46896836677,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.06916753331,+3.46817475632,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+5.63270544064,+0,+0,+0,+0,+0,+6.06494745188,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+5.62818441308,+0,+0,+0,+0,+0,+6.06150163165,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+5.63077859263,+0,+0,+0,+0,+0,+6.06429562098,+0,+0,+0,+0,+0,+0,+0,+2.16609384214,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+5.63374347037,+0,+0,+0,+0,+0,+6.06748886045,+0,+0,+0,+0,+0,+3.03402234096,+0,+2.16723446076,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+5.63127672395,+0,+0,+0,+0,+0,+6.06483211951,+0,+0,+5.19852258307,+0,+0,+3.0326938328,+0,+2.16628547831,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+5.64055011541,+0,+0,+0,+0,+0,+0,+0,+0,+5.20708358779,+0,+0,+3.03768817498,+0,+2.16985304611,+0,+0,+2.60484612791
2010-08-16 00:06:00 UTC,+0,+0,+5.63827512654,+0,+0,+0,+0,+0,+0,+0,+0,+5.20498336479,+0,+0,+3.03646294118,+0,+2.16897783484,+0,+0,+2.60553093573
2010-08-16 00:06:30 UTC,+0,+0,+5.63933083377,+0,+0,+0,+0,+0,+0,+0,+0,+5.20595797203,+0,+0,+3.0370315102,+0,+0,+0,+0,+2.606472534
2010-08-16 00:07:00 UTC,+0,+0,+5.63612652348,+0,+0,+0,+0,+0,+0,+0,+0,+5.20299981858,+0,+0,+3.03530577461,+0,+0,+0,+0,+2.61194571027
2010-08-16 00:07:30 UTC,+0,+0,+5.63689832432,+0,+0,+0,+0,+0,+0,+0,+0,+5.20371232926,+0,+0,+3.03572144102,+0,+0,+0,+0,+2.61388671174
2010-08-16 00:08:00 UTC,+0,+0,+5.63548891587,+0,+0,+0,+0,+0,+0,+0,+0,+5.2024111923,+0,+0,+3.03496238022,+0,+0,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20745363104,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20598208839,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47836074351,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47956961178,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47759341272,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+3.04028021507,+0,+0,+0,+0,+0,+3.47434228236,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+3.04029250962,+0,+0,+0,+0,+0,+3.47435633203,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+3.03743051781,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+3.03619576269,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+3.03655126751,+0,+0,+0,+0,+0,+0,+0,+0,+4.33723010319,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3386207941,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34225786814,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34262671412,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34361763455,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34636175463,+0,+0,+0,+0,+0,+0,+0
