# file...... Output/hvac/house_hvac_file_054.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_9B_tm_3_B_9_Meter_90_1061:hvac_load,house_3_10B_tm_3_B_10_Meter_90_1062:hvac_load,house_3_11B_tm_3_B_11_Meter_90_1063:hvac_load,house_3_12B_tm_3_B_12_Meter_90_1064:hvac_load,house_3_13B_tm_3_B_13_Meter_90_1065:hvac_load,house_3_14B_tm_3_B_14_Meter_90_1066:hvac_load,house_3_15B_tm_3_B_15_Meter_90_1067:hvac_load,house_3_1C_tm_3_C_1_Meter_92_1068:hvac_load,house_3_2C_tm_3_C_2_Meter_92_1069:hvac_load,house_3_3C_tm_3_C_3_Meter_92_1070:hvac_load,house_3_4C_tm_3_C_4_Meter_92_1071:hvac_load,house_3_5C_tm_3_C_5_Meter_92_1072:hvac_load,house_3_6C_tm_3_C_6_Meter_92_1073:hvac_load,house_3_7C_tm_3_C_7_Meter_92_1074:hvac_load,house_3_8C_tm_3_C_8_Meter_92_1075:hvac_load,house_3_9C_tm_3_C_9_Meter_92_1076:hvac_load,house_3_10C_tm_3_C_10_Meter_92_1077:hvac_load,house_3_11C_tm_3_C_11_Meter_92_1078:hvac_load,house_3_12C_tm_3_C_12_Meter_92_1079:hvac_load,house_3_13C_tm_3_C_13_Meter_92_1080:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.63011586369,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3374458074,+0,+5.63864692653,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.33386480839,+0,+5.63403842642,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+1.73436072054,+0,+0,+0,+2.59715378055,+0,+0,+0,+0,+0,+0,+0,+4.32845078602,+0,+5.62700011643,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+2.60079272948,+1.73391703068,+0,+0,+0,+2.59563476807,+0,+0,+0,+0,+0,+0,+0,+4.32591920932,+0,+5.6237090288,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+2.59893856683,+1.7326808741,+0,+0,+0,+2.59343578939,+0,+0,+0,+0,+0,+0,+0,+4.32225440523,+0,+5.61894472852,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+2.5974308427,+1.73167568553,+0,+0,+0,+2.60031031258,+0,+0,+0,+0,+0,+0,+0,+4.33368178621,+0,+5.63380049486,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+2.59879676698,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.32771673357,+0,+5.62604583725,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+2.60020525831,+0,+0,+0,+0,+0,+0,+0,+5.62851718879,+0,+0,+0,+0,+4.33030673677,+0,+5.62941288017,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.49871259905,+5.63141242307,+0,+0,+0,+0,+4.33253428151,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.48703143646,+5.62129063033,+0,+0,+0,+0,+0,+3.45972506855,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+5.63680899303,+0,+0,+0,+0,+0,+0,+0,+6.49554584687,+5.62866841449,+0,+0,+0,+0,+0,+3.46426602859,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+5.63790563346,+0,+0,+0,+0,+0,+0,+0,+6.51476667727,+5.64532337367,+0,+0,+0,+0,+0,+3.4745170056,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+5.63478326805,+0,+0,+0,+0,+0,+0,+0,+6.51325040255,+5.64400951281,+0,+0,+0,+0,+0,+3.47370833619,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+5.63563786437,+0,+0,+0,+0,+0,+0,+0,+6.51430867936,+5.64492651577,+0,+0,+0,+0,+0,+3.4742727432,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+5.63396126052,+0,+0,+0,+3.46749789237,+0,+0,+0,+6.52280793394,+5.65229116934,+0,+0,+0,+0,+0,+3.47883849055,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+5.63882163214,+0,+0,+0,+3.47048937149,+0,+0,+0,+6.52871820454,+5.65736712759,+0,+0,+0,+0,+0,+3.48196275462,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+5.63713751359,+0,+0,+0,+3.46945282411,+0,+0,+0,+6.54190678248,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,+0,+5.64075492235,+0,+0,+0,+3.4716792799,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+5.63973954275,+0,+0,+0,+3.4710543304,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+5.64276789722,+0,+0,+0,+3.47291823289,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+3.47644941999,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+4.80536405733,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
