# file...... Output/hvac/house_hvac_file_055.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_14C_tm_3_C_14_Meter_92_1081:hvac_load,house_3_15C_tm_3_C_15_Meter_92_1082:hvac_load,house_3_1A_tm_3_A_1_Meter_94_1083:hvac_load,house_3_2A_tm_3_A_2_Meter_94_1084:hvac_load,house_3_3A_tm_3_A_3_Meter_94_1085:hvac_load,house_3_4A_tm_3_A_4_Meter_94_1086:hvac_load,house_3_5A_tm_3_A_5_Meter_94_1087:hvac_load,house_3_6A_tm_3_A_6_Meter_94_1088:hvac_load,house_3_7A_tm_3_A_7_Meter_94_1089:hvac_load,house_3_8A_tm_3_A_8_Meter_94_1090:hvac_load,house_3_9A_tm_3_A_9_Meter_94_1091:hvac_load,house_3_10A_tm_3_A_10_Meter_94_1092:hvac_load,house_3_11A_tm_3_A_11_Meter_94_1093:hvac_load,house_3_12A_tm_3_A_12_Meter_94_1094:hvac_load,house_3_13A_tm_3_A_13_Meter_94_1095:hvac_load,house_3_14A_tm_3_A_14_Meter_94_1096:hvac_load,house_3_15A_tm_3_A_15_Meter_94_1097:hvac_load,house_3_1B_tm_3_B_1_Meter_95_1098:hvac_load,house_3_2B_tm_3_B_2_Meter_95_1099:hvac_load,house_3_3B_tm_3_B_3_Meter_95_1100:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+3.03173977648,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+3.03633369199,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+3.03382685993,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+3.03003684344,+3.46268814046,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+3.02826464581,+3.46066292979,+0,+0,+0,+0,+0,+2.16636544869,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+3.02569914692,+3.45773115991,+0,+0,+0,+0,+0,+2.16459188979,+2.16468112194,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+3.46687283588,+0,+0,+0,+0,+0,+2.16259209112,+2.16268120892,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.1642703863
2010-08-16 00:04:00 UTC,+0,+3.46210091319,+0,+0,+0,+0,+0,+2.1638145821,+2.16390376981,+0,+0,+0,+0,+3.89480001843,+0,+0,+0,+0,+0,+2.16535232118
2010-08-16 00:04:30 UTC,+0,+3.4641728639,+5.19627380381,+0,+0,+0,+0,+2.16493808396,+2.16501260167,+0,+6.0607657423,+0,+0,+3.89679577159,+0,+0,+0,+0,+0,+2.16655211412
