# file...... Output/hvac/house_hvac_file_056.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4B_tm_3_B_4_Meter_95_1101:hvac_load,house_3_5B_tm_3_B_5_Meter_95_1102:hvac_load,house_3_6B_tm_3_B_6_Meter_95_1103:hvac_load,house_3_7B_tm_3_B_7_Meter_95_1104:hvac_load,house_3_8B_tm_3_B_8_Meter_95_1105:hvac_load,house_3_1B_tm_3_B_1_Meter_96_1106:hvac_load,house_3_2B_tm_3_B_2_Meter_96_1107:hvac_load,house_3_3B_tm_3_B_3_Meter_96_1108:hvac_load,house_3_4B_tm_3_B_4_Meter_96_1109:hvac_load,house_3_5B_tm_3_B_5_Meter_96_1110:hvac_load,house_3_6B_tm_3_B_6_Meter_96_1111:hvac_load,house_3_7B_tm_3_B_7_Meter_96_1112:hvac_load,house_3_8B_tm_3_B_8_Meter_96_1113:hvac_load,house_3_1A_tm_3_A_1_Meter_98_1114:hvac_load,house_3_2A_tm_3_A_2_Meter_98_1115:hvac_load,house_3_3A_tm_3_A_3_Meter_98_1116:hvac_load,house_3_4A_tm_3_A_4_Meter_98_1117:hvac_load,house_3_5A_tm_3_A_5_Meter_98_1118:hvac_load,house_3_6A_tm_3_A_6_Meter_98_1119:hvac_load,house_3_7A_tm_3_A_7_Meter_98_1120:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20375354732,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20148680616,+0,+0,+0,+0,+0,+0,+0,+0,+5.61224268055,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20031711185,+0,+0,+0,+0,+0,+0,+0,+0,+5.63478322378,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.19623977429,+3.89741064346,+0,+0,+0,+0,+0,+0,+0,+5.6309075645,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+3.89523520273,+0,+0,+0,+0,+5.19252251862,+3.894622459,+4.32715567362,+0,+0,+0,+0,+0,+0,+5.62698065167,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+3.89718239172,+0,+0,+0,+0,+5.19511787011,+3.89656914208,+4.32931851319,+0,+0,+0,+0,+0,+0,+5.63132905497,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+3.89934169324,+0,+0,+0,+0,+5.19799594041,+3.89872788267,+4.33171695683,+0,+0,+0,+0,+0,+0,+5.63544698253,+0
