# file...... Output/hvac/house_hvac_file_058.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13B_tm_3_B_13_Meter_99_1141:hvac_load,house_3_14B_tm_3_B_14_Meter_99_1142:hvac_load,house_3_15B_tm_3_B_15_Meter_99_1143:hvac_load,house_3_1C_tm_3_C_1_Meter_100_1144:hvac_load,house_3_2C_tm_3_C_2_Meter_100_1145:hvac_load,house_3_3C_tm_3_C_3_Meter_100_1146:hvac_load,house_3_4C_tm_3_C_4_Meter_100_1147:hvac_load,house_3_5C_tm_3_C_5_Meter_100_1148:hvac_load,house_3_6C_tm_3_C_6_Meter_100_1149:hvac_load,house_3_7C_tm_3_C_7_Meter_100_1150:hvac_load,house_3_8C_tm_3_C_8_Meter_100_1151:hvac_load,house_3_9C_tm_3_C_9_Meter_100_1152:hvac_load,house_3_10C_tm_3_C_10_Meter_100_1153:hvac_load,house_3_11C_tm_3_C_11_Meter_100_1154:hvac_load,house_3_12C_tm_3_C_12_Meter_100_1155:hvac_load,house_3_13C_tm_3_C_13_Meter_100_1156:hvac_load,house_3_14C_tm_3_C_14_Meter_100_1157:hvac_load,house_3_15C_tm_3_C_15_Meter_100_1158:hvac_load,house_3_1C_tm_3_C_1_Meter_102_1159:hvac_load,house_3_2C_tm_3_C_2_Meter_102_1160:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+1.73295738954,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+1.73578288414,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+1.73436332986,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+1.73242504795,+0,+0,+3.03158286283,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.62524795771,+0,+3.02967564241,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.6206814318,+0,+3.02721601209,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45823544458
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.63402951129,+0,+3.03440557787,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.4665153514
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.6260085357,+0,+3.03008530628,+0,+2.59714997017,+5.62631561468,+0,+0,+0,+0,+0,+0,+3.46234762792
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.63081083391,+0,+3.03267192844,+0,+2.59936698596,+5.6311182582,+0,+0,+0,+0,+0,+0,+3.4652146572
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.63213429843,+0,+0,+0,+2.59997797295,+5.63244181787,+6.0655950332,+0,+0,+0,+0,+0,+3.46621387635
