# file...... Output/hvac/house_hvac_file_061.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_5B_tm_3_B_5_Meter_106_1201:hvac_load,house_3_6B_tm_3_B_6_Meter_106_1202:hvac_load,house_3_7B_tm_3_B_7_Meter_106_1203:hvac_load,house_3_8B_tm_3_B_8_Meter_106_1204:hvac_load,house_3_9B_tm_3_B_9_Meter_106_1205:hvac_load,house_3_10B_tm_3_B_10_Meter_106_1206:hvac_load,house_3_11B_tm_3_B_11_Meter_106_1207:hvac_load,house_3_12B_tm_3_B_12_Meter_106_1208:hvac_load,house_3_13B_tm_3_B_13_Meter_106_1209:hvac_load,house_3_14B_tm_3_B_14_Meter_106_1210:hvac_load,house_3_15B_tm_3_B_15_Meter_106_1211:hvac_load,house_3_1B_tm_3_B_1_Meter_107_1212:hvac_load,house_3_2B_tm_3_B_2_Meter_107_1213:hvac_load,house_3_3B_tm_3_B_3_Meter_107_1214:hvac_load,house_3_4B_tm_3_B_4_Meter_107_1215:hvac_load,house_3_5B_tm_3_B_5_Meter_107_1216:hvac_load,house_3_6B_tm_3_B_6_Meter_107_1217:hvac_load,house_3_7B_tm_3_B_7_Meter_107_1218:hvac_load,house_3_8B_tm_3_B_8_Meter_107_1219:hvac_load,house_3_9B_tm_3_B_9_Meter_107_1220:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60595103936,+4.77699433018,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60680475213,+4.77855922732,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.6039814528,+0,+0,+2.60404412168,+4.7734988573,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+5.64104807937,+0,+0,+0,+0,+5.64073938775,+0,+0,+0,+2.60293294078,+0,+0,+2.60299557502,+4.77157682019,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+5.63944713578,+0,+0,+5.63992485198,+0,+5.63913855115,+0,+0,+0,+2.60224021391,+0,+0,+2.60230282525,+4.77030697619,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+5.63434149949,+0,+0,+5.63481866099,+0,+5.6340332561,+0,+0,+0,+2.59951527902,+0,+0,+0,+4.76531187309,+3.89879835242,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+5.63279942883,+0,+0,+5.63327642277,+0,+5.63249128851,+0,+0,+0,+2.59903160067,+0,+0,+0,+0,+3.89807294467,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+5.63465964898,+0,+0,+5.63513684504,+0,+5.63435138433,+0,+0,+0,+0,+0,+0,+0,+0,+3.89953242972,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+5.63713910177,+0,+0,+5.63761656724,+0,+5.63683067139,+0,+0,+0,+0,+0,+0,+0,+0,+3.90101554862,+0,+3.4676583613
2010-08-16 00:05:00 UTC,+4.33442935059,+0,+0,+5.63423854431,+0,+0,+5.63471569461,+6.06756682759,+5.63393030782,+0,+0,+0,+0,+0,+0,+0,+0,+3.89913459006,+0,+3.46598635832
2010-08-16 00:05:30 UTC,+4.34173117834,+0,+0,+0,+0,+0,+5.64420790805,+6.07778801252,+5.64342085586,+0,+0,+0,+0,+0,+0,+0,+0,+3.90601343521,+0,+3.47210103299
2010-08-16 00:06:00 UTC,+4.34049409369,+0,+0,+0,+0,+0,+5.64259972554,+6.07605632676,+0,+0,+0,+4.33861762887,+0,+0,+0,+0,+0,+0,+0,+3.47102339119
2010-08-16 00:06:30 UTC,+4.34047769268,+0,+0,+0,+0,+0,+5.64257840459,+6.07603336841,+0,+0,+0,+4.33839846673,+0,+0,+0,+0,+0,+0,+0,+3.47084805446
2010-08-16 00:07:00 UTC,+4.33770929485,+0,+0,+0,+0,+0,+5.63897954904,+6.0721581323,+0,+0,+0,+4.33550305578,+0,+0,+0,+0,+0,+0,+3.90217026279,+3.46853163294
2010-08-16 00:07:30 UTC,+4.33786068702,+0,+0,+0,+0,+0,+5.63917635549,+6.07237005287,+0,+0,+0,+4.33591264491,+0,+0,+0,+0,+0,+0,+3.90253892017,+0
