# file...... Output/hvac/house_hvac_file_062.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_10B_tm_3_B_10_Meter_107_1221:hvac_load,house_3_11B_tm_3_B_11_Meter_107_1222:hvac_load,house_3_12B_tm_3_B_12_Meter_107_1223:hvac_load,house_3_13B_tm_3_B_13_Meter_107_1224:hvac_load,house_3_14B_tm_3_B_14_Meter_107_1225:hvac_load,house_3_15B_tm_3_B_15_Meter_107_1226:hvac_load,house_3_1A_tm_3_A_1_Meter_109_1227:hvac_load,house_3_2A_tm_3_A_2_Meter_109_1228:hvac_load,house_3_3A_tm_3_A_3_Meter_109_1229:hvac_load,house_3_4A_tm_3_A_4_Meter_109_1230:hvac_load,house_3_5A_tm_3_A_5_Meter_109_1231:hvac_load,house_3_6A_tm_3_A_6_Meter_109_1232:hvac_load,house_3_7A_tm_3_A_7_Meter_109_1233:hvac_load,house_3_8A_tm_3_A_8_Meter_109_1234:hvac_load,house_3_9A_tm_3_A_9_Meter_109_1235:hvac_load,house_3_10A_tm_3_A_10_Meter_109_1236:hvac_load,house_3_11A_tm_3_A_11_Meter_109_1237:hvac_load,house_3_12A_tm_3_A_12_Meter_109_1238:hvac_load,house_3_13A_tm_3_A_13_Meter_109_1239:hvac_load,house_3_14A_tm_3_A_14_Meter_109_1240:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+6.07465374082,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+6.07220787713,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+3.46996102226,+6.07059195351,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+3.46577468017,+6.06423549958,+3.89906110781,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+3.46512983425,+6.06310722344,+3.89833564219,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+3.46642723282,+6.06537726007,+3.89979524367,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+3.46774564054,+6.06768405607,+3.9012784809,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
