# file...... Output/hvac/house_hvac_file_064.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4A_tm_3_A_4_Meter_113_1261:hvac_load,house_3_5A_tm_3_A_5_Meter_113_1262:hvac_load,house_3_6A_tm_3_A_6_Meter_113_1263:hvac_load,house_3_7A_tm_3_A_7_Meter_113_1264:hvac_load,house_3_8A_tm_3_A_8_Meter_113_1265:hvac_load,house_3_9A_tm_3_A_9_Meter_113_1266:hvac_load,house_3_10A_tm_3_A_10_Meter_113_1267:hvac_load,house_3_11A_tm_3_A_11_Meter_113_1268:hvac_load,house_3_12A_tm_3_A_12_Meter_113_1269:hvac_load,house_3_13A_tm_3_A_13_Meter_113_1270:hvac_load,house_3_14A_tm_3_A_14_Meter_113_1271:hvac_load,house_3_15A_tm_3_A_15_Meter_113_1272:hvac_load,house_3_1A_tm_3_A_1_Meter_114_1273:hvac_load,house_3_2A_tm_3_A_2_Meter_114_1274:hvac_load,house_3_3A_tm_3_A_3_Meter_114_1275:hvac_load,house_3_4A_tm_3_A_4_Meter_114_1276:hvac_load,house_3_5A_tm_3_A_5_Meter_114_1277:hvac_load,house_3_6A_tm_3_A_6_Meter_114_1278:hvac_load,house_3_7A_tm_3_A_7_Meter_114_1279:hvac_load,house_3_8A_tm_3_A_8_Meter_114_1280:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74183297467,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4.30985034674,+0,+0,+4.74112298348,+0,+0,+0,+0,+0,+0,+0,+0,+5.1710523646
2010-08-16 00:01:30 UTC,+0,+3.01849012879,+0,+0,+0,+2.58727911803,+0,+4.31174902234,+0,+0,+4.74324695564,+0,+0,+0,+0,+0,+0,+0,+0,+5.17348040963
2010-08-16 00:02:00 UTC,+0,+3.0133527994,+0,+0,+0,+2.58287571208,+0,+4.30441082183,+0,+0,+4.7351741873,+0,+0,+0,+0,+0,+0,+0,+3.44313629588,+5.16450542244
2010-08-16 00:02:30 UTC,+0,+3.02521629523,+0,+0,+0,+2.59304437852,+0,+4.32135673056,+2.1609039932,+0,+4.75381641286,+0,+0,+0,+0,+0,+0,+0,+3.45671209843,+5.18486829698
2010-08-16 00:03:00 UTC,+0,+3.02317143981,+0,+0,+0,+2.5912916529,+0,+4.31843584316,+2.15944335325,+0,+4.75060313944,+0,+0,+0,+0,+0,+0,+0,+3.45437583325,+5.18136404198
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+2.59029795626,+0,+4.31677986466,+2.15861525271,+0,+4.74878139452,+0,+0,+0,+0,+0,+0,+0,+3.45301871104,+5.1793284416
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+2.16123967809,+0,+4.7545548887,+0,+0,+0,+0,+0,+0,+0,+3.45715250666,+5.18552888242
2010-08-16 00:04:30 UTC,+0,+0,+2.16298263643,+0,+0,+0,+0,+0,+0,+0,+4.75846273287,+0,+0,+0,+0,+0,+0,+0,+3.45995155686,+5.18972728664
2010-08-16 00:05:00 UTC,+0,+0,+2.16640678388,+0,+0,+0,+0,+0,+0,+0,+4.76599573849,+0,+0,+0,+0,+0,+0,+0,+3.46568690704,+0
2010-08-16 00:05:30 UTC,+0,+0,+2.16867153081,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.03576976869,+0,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+2.16967156687,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.03712427834,+0,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.03799488978,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04364673069,+0,+0,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04677972012,+0,+0,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04533069426,+0,+0,+0,+0,+0
