# file...... Load_substation.csv
# date...... Fri Mar 10 03:52:55 2017
# user...... huan495
# host...... (null)
# target.... substation 34
# trigger... (none)
# interval.. 1
# limit..... 100000000
# timestamp,distribution_load.real, distribution_load.imag
2001-01-01 00:00:00 PST,+7580821.23607,+1901538.01369
2001-01-01 00:00:01 PST,+7580821.09838,+1901538.06377
2001-01-01 00:00:02 PST,+7767392.83603,+2346256.76051
2001-01-01 00:00:03 PST,+8190621.2696,+2408900.86298
2001-01-01 00:00:04 PST,+8618546.08139,+2499556.45903
2001-01-01 00:00:05 PST,+9049597.08362,+2586403.64856
2001-01-01 00:00:06 PST,+9053093.22017,+2618940.87799
2001-01-01 00:00:07 PST,+8625361.48582,+2574356.78033
2001-01-01 00:00:08 PST,+8199240.33886,+2515888.43925
2001-01-01 00:00:09 PST,+7775659.24701,+2443094.20724
2001-01-01 00:00:10 PST,+7520468.06418,+2398210.84396
