1349 HEMSagent-0.1             HEMSagent-0.1_1                                   
b9b6 actuatoragent-0.5         platform.actuator                                 
ed03 aggregatoragent-0.1       aggregatoragent-0.1_1       aggregatorAgent      0
8b09 controlleragent-0.1       controlleragent-0.1_68                            
0441 controlleragent-0.1       controlleragent-0.1_33      controllerAgent running [29143]
0488 controlleragent-0.1       controlleragent-0.1_41      controllerAgent       
091c controlleragent-0.1       controlleragent-0.1_127     controllerAgent       
0b63 controlleragent-0.1       controlleragent-0.1_8       controllerAgent       
0c5c controlleragent-0.1       controlleragent-0.1_141     controllerAgent running [29864]
0dd0 controlleragent-0.1       controlleragent-0.1_14      controllerAgent running [29582]
0fef controlleragent-0.1       controlleragent-0.1_142     controllerAgent running [29670]
1053 controlleragent-0.1       controlleragent-0.1_35      controllerAgent       
11c0 controlleragent-0.1       controlleragent-0.1_169     controllerAgent       
13bd controlleragent-0.1       controlleragent-0.1_45      controllerAgent       
1677 controlleragent-0.1       controlleragent-0.1_183     controllerAgent running [29918]
184e controlleragent-0.1       controlleragent-0.1_52      controllerAgent       
1895 controlleragent-0.1       controlleragent-0.1_61      controllerAgent running [29972]
1957 controlleragent-0.1       controlleragent-0.1_30      controllerAgent running [29868]
1a80 controlleragent-0.1       controlleragent-0.1_98      controllerAgent running [29241]
1cb0 controlleragent-0.1       controlleragent-0.1_134     controllerAgent       
1ffc controlleragent-0.1       controlleragent-0.1_7       controllerAgent       
213f controlleragent-0.1       controlleragent-0.1_114     controllerAgent running [29491]
214c controlleragent-0.1       controlleragent-0.1_189     controllerAgent running [29705]
2214 controlleragent-0.1       controlleragent-0.1_27      controllerAgent       
2402 controlleragent-0.1       controlleragent-0.1_153     controllerAgent       
2586 controlleragent-0.1       controlleragent-0.1_178     controllerAgent       
25d9 controlleragent-0.1       controlleragent-0.1_198     controllerAgent running [29149]
2734 controlleragent-0.1       controlleragent-0.1_40      controllerAgent running [29657]
2779 controlleragent-0.1       controlleragent-0.1_170     controllerAgent running [29523]
2893 controlleragent-0.1       controlleragent-0.1_125     controllerAgent       
28f4 controlleragent-0.1       controlleragent-0.1_111     controllerAgent       
291b controlleragent-0.1       controlleragent-0.1_192     controllerAgent running [29878]
2a31 controlleragent-0.1       controlleragent-0.1_59      controllerAgent       
2b7a controlleragent-0.1       controlleragent-0.1_186     controllerAgent       
2bb5 controlleragent-0.1       controlleragent-0.1_159     controllerAgent running [29507]
2bcf controlleragent-0.1       controlleragent-0.1_173     controllerAgent running [29915]
2c1e controlleragent-0.1       controlleragent-0.1_53      controllerAgent       
2d19 controlleragent-0.1       controlleragent-0.1_151     controllerAgent       
2e16 controlleragent-0.1       controlleragent-0.1_185     controllerAgent running [29460]
300d controlleragent-0.1       controlleragent-0.1_24      controllerAgent running [29247]
32b2 controlleragent-0.1       controlleragent-0.1_42      controllerAgent       
33b5 controlleragent-0.1       controlleragent-0.1_105     controllerAgent running [29746]
34fe controlleragent-0.1       controlleragent-0.1_176     controllerAgent       
3724 controlleragent-0.1       controlleragent-0.1_119     controllerAgent       
3949 controlleragent-0.1       controlleragent-0.1_60      controllerAgent running [29757]
397c controlleragent-0.1       controlleragent-0.1_138     controllerAgent running [29318]
3a23 controlleragent-0.1       controlleragent-0.1_63      controllerAgent       
3adf controlleragent-0.1       controlleragent-0.1_75      controllerAgent       
3b96 controlleragent-0.1       controlleragent-0.1_204     controllerAgent running [29597]
3cb8 controlleragent-0.1       controlleragent-0.1_87      controllerAgent       
3d09 controlleragent-0.1       controlleragent-0.1_190     controllerAgent running [29383]
3ea0 controlleragent-0.1       controlleragent-0.1_157     controllerAgent running [29142]
42b8 controlleragent-0.1       controlleragent-0.1_202     controllerAgent running [29604]
470e controlleragent-0.1       controlleragent-0.1_78      controllerAgent running [29614]
