Cleared_time,market_id,ACOPF_solved,cleared_price_18,cleared_price_57,cleared_quantity_18 (kW),cleared_quantity_57 (kW),DG_13_output (kW),DG_57_output (kW),DG_7_output (kW),DG_18_output (kW),DG_56_output (kW),social_welfare ($),planned_SubstationP (kW),expected_SubstationP (kW),total_uncontrollable_loads (kW)
2018-02-09-15:49:39,1,True,63.784985924,63.7998019569,342.729925264,534.919295227,198.324074558,256.540124437,96.1173412484,111.145282476,114.454898948,-21.8631166869,1494.7094834,1494.7094834,1393.64198457
2018-02-09-15:54:39,2,True,62.3223869936,62.4472867334,289.140203616,385.105889379,193.086219336,247.810365837,93.5991422805,108.027511514,110.230822231,-9.10758140477,1108.7384231,1108.7384231,1187.2463913
2018-02-09-15:59:39,3,True,61.8741792321,61.9720446964,275.909178809,366.499905566,191.55308613,245.255143843,92.8620589655,107.114932225,108.994424498,-7.25063924434,1039.6631308,1039.6631308,1143.03369209
2018-02-09-16:04:39,4,True,61.8625809228,61.4673908511,226.477946799,473.452859657,189.42460594,241.707676647,91.8387527108,105.847979719,107.27790808,-11.1669222114,1046.3104239,1046.3104239,1082.47654054
2018-02-09-16:09:39,5,True,61.3707917223,61.1609544861,300.188374541,390.905644529,188.646432844,240.410721647,91.4646299371,105.384781458,106.650349239,-10.6957983012,1059.4075009,1059.4075009,1100.87039696
2018-02-09-16:14:39,6,True,60.4213234938,61.4378863365,413.366911396,307.170105251,187.50155118,238.502585698,90.9142050595,104.703304284,105.727057685,-12.7544472375,1140.2835381,1140.2835381,1147.09522536
2018-02-09-16:19:39,7,True,60.4548416972,60.6283349448,233.174360504,483.210443012,185.868812149,235.781353637,90.129236592,103.731435795,104.410332427,-12.5871913475,1130.518095,1130.518095,1134.05446208
2018-02-09-16:24:39,8,True,60.5506666572,59.7885250183,193.717779419,561.173396778,184.597108496,233.661847522,89.5178407216,102.974469335,103.384764947,-15.221815004,1138.6726463,1138.6726463,1097.91750113
2018-02-09-16:29:39,9,True,59.9797376686,60.3275804018,438.262047922,288.252449696,184.171259077,232.95209891,89.3131030202,102.72098756,103.041338292,-13.4537870237,1153.3631697,1153.3631697,1139.04745894
2018-02-09-16:34:39,10,True,59.3499342905,60.1834433063,399.036053297,365.28235371,182.853122268,230.755204008,88.6793847408,101.936382304,101.978324585,-15.9408412162,1206.4865848,1206.4865848,1148.3705957
2018-02-09-16:39:39,11,True,60.1501766337,59.5130109879,127.997914638,677.114459867,183.016086461,231.026810799,88.7577340158,102.033384788,102.109747182,-18.5432449251,1201.2495096,1201.2495096,1103.08089834
2018-02-09-16:44:39,12,True,59.346758085,59.7563029625,415.401266282,290.632870024,181.087197802,227.811996843,87.8303811657,100.885236807,100.554192152,-12.4522424258,1137.7418507,1137.7418507,1129.87671916
2018-02-09-16:49:39,13,True,58.4336755298,59.6835882066,499.163739353,299.721421152,180.724966852,227.208278396,87.656232751,100.66962313,100.262070283,-18.3721861771,1198.5943928,1198.5943928,1096.23040371
2018-02-09-16:54:39,14,True,62.7718145962,58.7401932216,10.2161511148,706.760843211,179.359642422,224.932737413,86.9998278604,99.8569300161,99.1610019847,-13.4588703093,1081.6779624,1081.6779624,1055.01110777
2018-02-09-16:59:39,15,True,58.886367702,58.2476055276,313.244842452,418.086283149,177.410679653,221.684466245,86.0628262545,98.6968331274,97.5892579121,-14.3309227765,1043.0273049,1043.0273049,993.140242491
2018-02-09-17:04:39,16,True,57.6654636958,58.8261143601,510.653616888,199.477065009,176.214511718,219.690853465,85.4877435702,97.9848284216,96.6246067034,-13.3232873535,1000.2228509,1000.2228509,966.094712881
2018-02-09-17:09:39,17,True,58.0130410925,57.9736198892,150.270658347,483.375215083,175.020644339,217.70107393,84.9137714386,97.2741930464,95.6618099881,-8.66164241323,957.9893869,957.9893869,994.915006213
2018-02-09-17:14:39,18,True,58.5130613565,57.472765552,166.717817466,404.924352559,174.020191984,216.033653396,84.4327844266,96.6786856982,94.854993616,-5.08529092251,877.7174133,877.7174133,972.095552396
2018-02-09-17:19:39,19,True,57.5302605134,57.3481592358,245.110972948,286.998532768,171.787601434,212.312669819,83.3594207432,95.349762802,93.0545179084,-2.98767062303,840.283892,840.283892,964.038358991
2018-02-09-17:24:39,20,True,57.0858399249,57.8895441058,317.610987756,178.898106372,172.461996952,213.436662662,83.6836480495,95.7511887169,93.5983855167,-0.84698526132,756.8539041,756.8539041,919.276691869
2018-02-09-17:29:39,21,True,57.0097269867,57.26463701,188.079002014,246.554036254,170.289525162,209.815875284,82.6391947335,94.4580506926,91.8463912711,2.53777645252,722.1494651,722.1494651,936.565463975
2018-02-09-17:34:39,22,True,59.4928502594,56.2853873536,26.4407558351,415.324049356,168.112457111,206.187428519,81.5925274589,93.1621768518,90.0906912193,1.71501891666,728.4288305,728.4288305,925.809306469
2018-02-09-17:39:39,23,True,56.0487158431,56.8104162785,338.159626452,102.778898245,166.151420114,202.919033554,80.6497210993,91.9948929273,88.5092097968,1.51397321293,737.5621253,737.5621253,926.847878095
2018-02-09-17:44:39,24,True,55.0193033375,56.5530994289,297.559741991,128.549698783,164.428143099,200.046905183,79.8212225832,90.9691327983,87.1194702575,2.05612900592,709.6228188,709.6228188,905.898251947
2018-02-09-17:49:39,25,True,65.2401074199,55.5328635209,0.000414605688153,382.98059813,163.407085131,198.345141891,79.3303293709,90.3613601974,86.2960364015,4.40045572219,683.4157078,683.4157078,918.174648056
2018-02-09-17:54:39,26,True,55.6493833374,54.5360875709,114.40102254,292.237601925,161.444116179,195.073526975,78.3865942854,89.1929262979,84.7129969274,2.76799360977,680.9951155,680.9951155,883.166651699
2018-02-09-17:59:39,27,True,54.8893049415,54.6187755059,244.198516048,165.329005251,160.049940217,192.749900381,77.7163173481,88.3630596546,83.5886614841,2.40229629502,681.9566691,681.9566691,874.897026886
2018-02-09-18:04:39,28,True,53.8344725252,55.5311682281,255.106597311,116.600513426,158.507219796,190.178699691,76.9746248041,87.4447736909,82.3445321246,4.25288292064,659.6683604,659.6683604,883.41109977
2018-02-09-18:09:39,29,True,54.4447471877,54.3289807177,116.833303939,271.71863979,157.435573967,188.392623293,76.459410511,86.8068892673,81.4803016014,3.19353493009,690.4335998,690.4335998,892.45645471
2018-02-09-18:14:39,30,True,54.4558210497,53.4150778245,85.5667403733,380.721842204,156.521931368,186.869885711,76.020159316,86.263054368,80.7434931374,-1.28512562029,739.337613,739.337613,859.467554323
2018-02-09-18:19:39,31,True,53.6045817873,53.2122549946,275.673442315,187.439147935,155.169428034,184.615714877,75.3699128998,85.4579930073,79.6527660929,-1.25463246165,741.3461594,741.3461594,858.499384061
2018-02-09-18:24:39,32,True,52.6262191133,53.5366715062,268.703434397,181.520796653,154.737715894,183.896193169,75.1623633716,85.2010213664,79.3046096056,-0.631650407463,771.0069059,771.0069059,899.084578257
2018-02-09-18:29:39,33,True,52.5479246702,53.5690312229,221.045053467,271.154843299,154.814737585,184.024563243,75.1993914342,85.2468676505,79.3667244799,-2.91470041668,781.1983704,781.1983704,867.650758026
2018-02-09-18:34:39,34,True,53.3501403384,52.8414711083,111.499400674,347.708382474,153.02338374,181.038973169,74.3381646049,84.1805855725,77.922083949,-1.32065444162,772.3954798,772.3954798,883.690887688
2018-02-09-18:39:39,35,True,53.1164143106,52.4078828542,157.285558821,305.820313451,152.593635382,180.322726222,74.1315538722,83.9247830131,77.5755130353,-1.59796102777,770.7487116,770.7487116,876.191050853
2018-02-09-18:44:39,36,True,52.6133669828,52.4636350802,201.768553746,294.349930067,151.745110408,178.908517981,73.7236090806,83.4197086281,76.89121876,-3.48537428842,814.682722,814.682722,883.252403045
2018-02-09-18:49:39,37,True,51.8109041056,52.7588007575,297.21162984,191.555461658,150.750755836,177.251260839,73.2455527292,82.8278309491,76.0893204566,-3.23508198406,822.7352147,822.7352147,894.132844011
2018-02-09-18:54:39,38,True,51.5256549161,52.1603750481,243.595348825,299.512396955,149.78333157,175.638886427,72.7804467421,82.2519831091,75.3091388862,-6.24658766634,852.0290464,852.0290464,864.685087354
2018-02-09-18:59:39,39,True,59.6259281485,51.3510642906,0.00183274789809,477.928935059,149.354741793,174.924569658,72.5743950869,81.996870115,74.9635014496,-2.90338306532,801.2925578,801.2925578,877.175868096
2018-02-09-19:04:39,40,True,51.9051510461,50.8559450029,130.406227281,290.758963744,146.92122289,170.868705605,71.4044319995,80.5483470409,73.0009871414,-0.0992113436443,790.0558176,790.0558176,911.634321251
