# file...... Output/Aggregator_1_line.csv
# date...... Fri Feb  9 15:44:51 2018
# user...... admsuser
# host...... (null)
# target.... overhead_line 82
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,power_out_real, power_out
2010-08-16 00:00:00 UTC,+116158.238372,+116158+29840.6j
2010-08-16 00:00:30 UTC,+143828.687553,+143829+40685j
2010-08-16 00:01:00 UTC,+173239.913556,+173240+52183.4j
2010-08-16 00:01:30 UTC,+180162.50891,+180163+55006.5j
2010-08-16 00:02:00 UTC,+194413.125583,+194413+60770.1j
2010-08-16 00:02:30 UTC,+208582.005584,+208582+66396.1j
2010-08-16 00:03:00 UTC,+212074.694872,+212075+67768.1j
2010-08-16 00:03:30 UTC,+226136.77161,+226137+73351.5j
2010-08-16 00:04:00 UTC,+213543.702229,+213544+68566.7j
2010-08-16 00:04:30 UTC,+213271.760847,+213272+68542j
2010-08-16 00:05:00 UTC,+219743.443163,+219743+71100.9j
2010-08-16 00:05:30 UTC,+247942.026086,+247942+82167.9j
2010-08-16 00:06:00 UTC,+231267.106414,+231267+75799.4j
2010-08-16 00:06:30 UTC,+214712.41726,+214712+69435j
2010-08-16 00:07:00 UTC,+219322.663106,+219323+71232.1j
2010-08-16 00:07:30 UTC,+195139.264633,+195139+61783.5j
2010-08-16 00:08:00 UTC,+196201.836639,+196202+62276.2j
2010-08-16 00:08:30 UTC,+198741.498414,+198741+63347.5j
2010-08-16 00:09:00 UTC,+179597.40798,+179597+55982.3j
2010-08-16 00:09:30 UTC,+164880.199735,+164880+50221.7j
2010-08-16 00:10:00 UTC,+230216.08718,+230216+75958.5j
2010-08-16 00:10:30 UTC,+247124.591215,+247125+82649.2j
2010-08-16 00:11:00 UTC,+250822.99876,+250823+84198.2j
2010-08-16 00:11:30 UTC,+243445.582772,+243446+81336.4j
2010-08-16 00:12:00 UTC,+247195.470632,+247195+83044.5j
2010-08-16 00:12:30 UTC,+230761.719688,+230762+76669.2j
2010-08-16 00:13:00 UTC,+220111.238606,+220111+72566.8j
2010-08-16 00:13:30 UTC,+203437.013602,+203437+66086.5j
2010-08-16 00:14:00 UTC,+175441.402849,+175441+55224.8j
2010-08-16 00:14:30 UTC,+169175.751994,+169176+52945.1j
2010-08-16 00:15:00 UTC,+166431.376309,+166431+51926.4j
2010-08-16 00:15:30 UTC,+187344.39466,+187344+60271.8j
2010-08-16 00:16:00 UTC,+173902.032939,+173902+54975.4j
2010-08-16 00:16:30 UTC,+189394.408859,+189394+61174.4j
2010-08-16 00:17:00 UTC,+200507.058664,+200507+65550.5j
2010-08-16 00:17:30 UTC,+194060.922015,+194061+63003.9j
2010-08-16 00:18:00 UTC,+197739.444392,+197739+64652j
2010-08-16 00:18:30 UTC,+178212.459294,+178212+57046.2j
2010-08-16 00:19:00 UTC,+176946.091115,+176946+56612.4j
2010-08-16 00:19:30 UTC,+175462.51352,+175463+56183.6j
2010-08-16 00:20:00 UTC,+177963.111265,+177963+57227.1j
2010-08-16 00:20:30 UTC,+161369.06264,+161369+50697.3j
2010-08-16 00:21:00 UTC,+144904.192933,+144904+44225.7j
2010-08-16 00:21:30 UTC,+139938.244693,+139938+42277.6j
2010-08-16 00:22:00 UTC,+139976.811888,+139977+42301j
2010-08-16 00:22:30 UTC,+142706.38147,+142706+43375.4j
2010-08-16 00:23:00 UTC,+148904.494999,+148904+45814.1j
2010-08-16 00:23:30 UTC,+142782.461889,+142782+43404.8j
2010-08-16 00:24:00 UTC,+147632.461505,+147632+45306.7j
2010-08-16 00:24:30 UTC,+154979.49651,+154979+48186.9j
2010-08-16 00:25:00 UTC,+180558.692122,+180559+58246.4j
