# file...... Output/houses_noController.csv
# date...... Fri Feb  9 15:44:51 2018
# user...... admsuser
# host...... (null)
# group..... class=house AND groupid=noController
# trigger... (none)
# interval.. 30
# limit..... 0
# property.. timestamp,sum(total_load)
2010-08-16 00:00:00 UTC,+257.32485172
2010-08-16 00:00:30 UTC,+272.961200719
2010-08-16 00:01:00 UTC,+306.487342964
2010-08-16 00:01:30 UTC,+354.040553397
2010-08-16 00:02:00 UTC,+388.899083147
2010-08-16 00:02:30 UTC,+405.113072266
2010-08-16 00:03:00 UTC,+425.650916013
2010-08-16 00:03:30 UTC,+441.683790732
2010-08-16 00:04:00 UTC,+447.932742184
2010-08-16 00:04:30 UTC,+433.282719662
2010-08-16 00:05:00 UTC,+418.864121577
2010-08-16 00:05:30 UTC,+401.889214804
2010-08-16 00:06:00 UTC,+403.717136172
2010-08-16 00:06:30 UTC,+376.049436978
2010-08-16 00:07:00 UTC,+377.477938833
2010-08-16 00:07:30 UTC,+371.850289577
2010-08-16 00:08:00 UTC,+361.476893158
2010-08-16 00:08:30 UTC,+351.348123273
2010-08-16 00:09:00 UTC,+324.088748638
2010-08-16 00:09:30 UTC,+323.392403471
2010-08-16 00:10:00 UTC,+302.096535897
2010-08-16 00:10:30 UTC,+286.874727219
2010-08-16 00:11:00 UTC,+302.599918679
2010-08-16 00:11:30 UTC,+309.780864854
2010-08-16 00:12:00 UTC,+310.01956516
2010-08-16 00:12:30 UTC,+300.460616878
2010-08-16 00:13:00 UTC,+289.441951998
2010-08-16 00:13:30 UTC,+284.324932889
2010-08-16 00:14:00 UTC,+276.98612739
2010-08-16 00:14:30 UTC,+277.806854416
2010-08-16 00:15:00 UTC,+281.525298547
2010-08-16 00:15:30 UTC,+292.757143743
2010-08-16 00:16:00 UTC,+293.723118116
2010-08-16 00:16:30 UTC,+288.996029
2010-08-16 00:17:00 UTC,+299.186699712
2010-08-16 00:17:30 UTC,+303.98954136
2010-08-16 00:18:00 UTC,+293.544185482
2010-08-16 00:18:30 UTC,+279.503779968
2010-08-16 00:19:00 UTC,+300.924107611
2010-08-16 00:19:30 UTC,+296.534925182
2010-08-16 00:20:00 UTC,+305.895444047
2010-08-16 00:20:30 UTC,+304.760767208
2010-08-16 00:21:00 UTC,+279.215787574
2010-08-16 00:21:30 UTC,+287.485832516
2010-08-16 00:22:00 UTC,+292.363765419
2010-08-16 00:22:30 UTC,+296.129008678
2010-08-16 00:23:00 UTC,+290.87494519
2010-08-16 00:23:30 UTC,+303.275751567
2010-08-16 00:24:00 UTC,+294.274930842
2010-08-16 00:24:30 UTC,+298.41262097
2010-08-16 00:25:00 UTC,+284.144214768
2010-08-16 00:25:30 UTC,+285.64305432
2010-08-16 00:26:00 UTC,+290.902793196
2010-08-16 00:26:30 UTC,+302.929181065
2010-08-16 00:27:00 UTC,+291.652216563
2010-08-16 00:27:30 UTC,+293.159189459
2010-08-16 00:28:00 UTC,+292.41333
2010-08-16 00:28:30 UTC,+315.72639324
2010-08-16 00:29:00 UTC,+327.393673063
2010-08-16 00:29:30 UTC,+319.514564696
2010-08-16 00:30:00 UTC,+334.946620381
2010-08-16 00:30:30 UTC,+346.613755274
2010-08-16 00:31:00 UTC,+352.999229274
2010-08-16 00:31:30 UTC,+342.477610791
2010-08-16 00:32:00 UTC,+351.14953434
2010-08-16 00:32:30 UTC,+327.471906203
2010-08-16 00:33:00 UTC,+323.345800366
2010-08-16 00:33:30 UTC,+319.609972392
2010-08-16 00:34:00 UTC,+326.030933235
2010-08-16 00:34:30 UTC,+341.078940123
2010-08-16 00:35:00 UTC,+342.595485007
2010-08-16 00:35:30 UTC,+333.946303963
2010-08-16 00:36:00 UTC,+337.333960487
2010-08-16 00:36:30 UTC,+326.049160791
2010-08-16 00:37:00 UTC,+328.701287619
2010-08-16 00:37:30 UTC,+323.820824296
2010-08-16 00:38:00 UTC,+309.905178552
2010-08-16 00:38:30 UTC,+318.208022537
2010-08-16 00:39:00 UTC,+320.490309128
2010-08-16 00:39:30 UTC,+315.602543018
2010-08-16 00:40:00 UTC,+321.634430199
2010-08-16 00:40:30 UTC,+315.623392513
2010-08-16 00:41:00 UTC,+320.907505452
2010-08-16 00:41:30 UTC,+306.978562856
2010-08-16 00:42:00 UTC,+300.952923295
2010-08-16 00:42:30 UTC,+311.878271552
2010-08-16 00:43:00 UTC,+306.61899386
2010-08-16 00:43:30 UTC,+325.104265159
2010-08-16 00:44:00 UTC,+316.451198911
2010-08-16 00:44:30 UTC,+317.59151736
2010-08-16 00:45:00 UTC,+334.193179233
2010-08-16 00:45:30 UTC,+331.942172512
2010-08-16 00:46:00 UTC,+327.061768643
2010-08-16 00:46:30 UTC,+342.913422683
2010-08-16 00:47:00 UTC,+348.189477335
2010-08-16 00:47:30 UTC,+328.204226383
2010-08-16 00:48:00 UTC,+321.419974549
2010-08-16 00:48:30 UTC,+325.959346767
2010-08-16 00:49:00 UTC,+311.259726494
2010-08-16 00:49:30 UTC,+330.134437512
2010-08-16 00:50:00 UTC,+345.630380407
2010-08-16 00:50:30 UTC,+335.825875739
2010-08-16 00:51:00 UTC,+350.560483508
2010-08-16 00:51:30 UTC,+339.228350635
2010-08-16 00:52:00 UTC,+343.394234616
2010-08-16 00:52:30 UTC,+330.57389836
2010-08-16 00:53:00 UTC,+337.364844548
2010-08-16 00:53:30 UTC,+325.665089766
2010-08-16 00:54:00 UTC,+318.878960411
2010-08-16 00:54:30 UTC,+316.242818291
2010-08-16 00:55:00 UTC,+318.528691271
2010-08-16 00:55:30 UTC,+309.092847169
2010-08-16 00:56:00 UTC,+316.643609922
2010-08-16 00:56:30 UTC,+338.565795408
2010-08-16 00:57:00 UTC,+364.237778803
2010-08-16 00:57:30 UTC,+369.524246365
2010-08-16 00:58:00 UTC,+378.956763758
2010-08-16 00:58:30 UTC,+370.635909553
2010-08-16 00:59:00 UTC,+347.604979356
2010-08-16 00:59:30 UTC,+332.496501985
2010-08-16 01:00:00 UTC,+313.867112226
2010-08-16 01:00:30 UTC,+301.944353298
2010-08-16 01:01:00 UTC,+294.338947666
2010-08-16 01:01:30 UTC,+316.546955664
2010-08-16 01:02:00 UTC,+322.622708454
2010-08-16 01:02:30 UTC,+315.545878654
2010-08-16 01:03:00 UTC,+306.613073836
2010-08-16 01:03:30 UTC,+323.640939178
2010-08-16 01:04:00 UTC,+325.433785997
2010-08-16 01:04:30 UTC,+310.391549168
2010-08-16 01:05:00 UTC,+317.707050801
2010-08-16 01:05:30 UTC,+343.421734882
2010-08-16 01:06:00 UTC,+340.338776225
2010-08-16 01:06:30 UTC,+327.142932964
2010-08-16 01:07:00 UTC,+320.793241788
2010-08-16 01:07:30 UTC,+321.491633147
2010-08-16 01:08:00 UTC,+302.855445319
2010-08-16 01:08:30 UTC,+297.747827531
2010-08-16 01:09:00 UTC,+303.735035342
2010-08-16 01:09:30 UTC,+313.733620216
2010-08-16 01:10:00 UTC,+312.306767841
2010-08-16 01:10:30 UTC,+312.552796135
2010-08-16 01:11:00 UTC,+335.629098087
2010-08-16 01:11:30 UTC,+324.63824051
2010-08-16 01:12:00 UTC,+327.387496041
2010-08-16 01:12:30 UTC,+326.994339482
2010-08-16 01:13:00 UTC,+297.744587663
2010-08-16 01:13:30 UTC,+307.64039465
2010-08-16 01:14:00 UTC,+283.828906052
2010-08-16 01:14:30 UTC,+288.309053095
2010-08-16 01:15:00 UTC,+286.589047883
2010-08-16 01:15:30 UTC,+272.192382
2010-08-16 01:16:00 UTC,+277.34332147
2010-08-16 01:16:30 UTC,+286.600932788
2010-08-16 01:17:00 UTC,+274.350389516
2010-08-16 01:17:30 UTC,+274.70664809
2010-08-16 01:18:00 UTC,+282.865458379
2010-08-16 01:18:30 UTC,+298.833215447
2010-08-16 01:19:00 UTC,+289.061088925
2010-08-16 01:19:30 UTC,+280.754746024
2010-08-16 01:20:00 UTC,+274.276519294
2010-08-16 01:20:30 UTC,+267.871681869
2010-08-16 01:21:00 UTC,+261.455684084
2010-08-16 01:21:30 UTC,+255.413675648
2010-08-16 01:22:00 UTC,+258.787648476
2010-08-16 01:22:30 UTC,+267.054163824
2010-08-16 01:23:00 UTC,+259.138677737
2010-08-16 01:23:30 UTC,+263.62492006
2010-08-16 01:24:00 UTC,+264.737611611
2010-08-16 01:24:30 UTC,+261.33568169
2010-08-16 01:25:00 UTC,+265.434518404
2010-08-16 01:25:30 UTC,+258.274578788
2010-08-16 01:26:00 UTC,+247.750617604
2010-08-16 01:26:30 UTC,+261.242843298
2010-08-16 01:27:00 UTC,+266.84887209
2010-08-16 01:27:30 UTC,+264.198357284
2010-08-16 01:28:00 UTC,+256.302275244
2010-08-16 01:28:30 UTC,+242.78329766
2010-08-16 01:29:00 UTC,+234.513587981
2010-08-16 01:29:30 UTC,+241.620043521
2010-08-16 01:30:00 UTC,+236.72155259
2010-08-16 01:30:30 UTC,+247.941997814
2010-08-16 01:31:00 UTC,+243.054874327
2010-08-16 01:31:30 UTC,+253.145422681
2010-08-16 01:32:00 UTC,+264.354340422
2010-08-16 01:32:30 UTC,+255.357194463
2010-08-16 01:33:00 UTC,+258.700926651
2010-08-16 01:33:30 UTC,+261.282047555
2010-08-16 01:34:00 UTC,+271.349548853
2010-08-16 01:34:30 UTC,+263.481031677
2010-08-16 01:35:00 UTC,+258.592289142
2010-08-16 01:35:30 UTC,+253.340480209
2010-08-16 01:36:00 UTC,+243.238017524
2010-08-16 01:36:30 UTC,+248.817066826
2010-08-16 01:37:00 UTC,+241.706730957
2010-08-16 01:37:30 UTC,+224.545995344
2010-08-16 01:38:00 UTC,+222.297240834
2010-08-16 01:38:30 UTC,+214.080867082
2010-08-16 01:39:00 UTC,+219.652167974
2010-08-16 01:39:30 UTC,+214.056866237
2010-08-16 01:40:00 UTC,+210.330478644
2010-08-16 01:40:30 UTC,+214.043108703
2010-08-16 01:41:00 UTC,+208.827760096
2010-08-16 01:41:30 UTC,+219.971784149
2010-08-16 01:42:00 UTC,+210.667890735
