# file...... Output/total_feeder_load.csv
# date...... Fri Feb  9 15:44:51 2018
# user...... admsuser
# host...... (null)
# target.... substation 28
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,distribution_load.real, distribution_load
2010-08-16 00:00:00 UTC,+1317531.30576,+1.31753e+06+357874j
2010-08-16 00:00:30 UTC,+1478944.51281,+1.47894e+06+426391j
2010-08-16 00:01:00 UTC,+1675512.26911,+1.67551e+06+512026j
2010-08-16 00:01:30 UTC,+1843858.2635,+1.84386e+06+585936j
2010-08-16 00:02:00 UTC,+1995840.49176,+1.99584e+06+653297j
2010-08-16 00:02:30 UTC,+2082760.55861,+2.08276e+06+692777j
2010-08-16 00:03:00 UTC,+2185758.3449,+2.18576e+06+738468j
2010-08-16 00:03:30 UTC,+2221595.59557,+2.2216e+06+755091j
2010-08-16 00:04:00 UTC,+2227323.21246,+2.22732e+06+758332j
2010-08-16 00:04:30 UTC,+2201083.99271,+2.20108e+06+748806j
2010-08-16 00:05:00 UTC,+1531838.70655,+1.53184e+06+779593j
2010-08-16 00:05:30 UTC,+2034504.09385,+2.0345e+06+1.00638e+06j
2010-08-16 00:06:00 UTC,+1979698.88443,+1.9797e+06+982078j
2010-08-16 00:06:30 UTC,+1928036.20671,+1.92804e+06+960703j
2010-08-16 00:07:00 UTC,+1896056.43655,+1.89606e+06+947215j
2010-08-16 00:07:30 UTC,+1728901.73151,+1.7289e+06+872560j
2010-08-16 00:08:00 UTC,+1624081.92522,+1.62408e+06+826376j
2010-08-16 00:08:30 UTC,+1473875.19516,+1.47388e+06+761582j
2010-08-16 00:09:00 UTC,+1164176.2715,+1.16418e+06+626868j
2010-08-16 00:09:30 UTC,+992519.951921,+992520+552714j
2010-08-16 00:10:00 UTC,+1448023.31823,+1.44802e+06+745337j
2010-08-16 00:10:30 UTC,+1648078.1629,+1.64808e+06+832692j
2010-08-16 00:11:00 UTC,+1678095.58929,+1.6781e+06+845850j
2010-08-16 00:11:30 UTC,+1702763.22791,+1.70276e+06+857046j
2010-08-16 00:12:00 UTC,+1649313.89792,+1.64931e+06+834355j
2010-08-16 00:12:30 UTC,+1534084.2193,+1.53408e+06+784804j
2010-08-16 00:13:00 UTC,+1400971.6766,+1.40097e+06+726728j
2010-08-16 00:13:30 UTC,+1234866.13095,+1.23487e+06+655059j
2010-08-16 00:14:00 UTC,+1082988.58746,+1.08299e+06+591400j
2010-08-16 00:14:30 UTC,+1014702.6631,+1.0147e+06+562456j
2010-08-16 00:15:00 UTC,+1222768.74417,+1.22277e+06+651003j
2010-08-16 00:15:30 UTC,+1288297.41864,+1.2883e+06+680735j
2010-08-16 00:16:00 UTC,+1276682.76702,+1.27668e+06+675536j
2010-08-16 00:16:30 UTC,+1310095.81381,+1.3101e+06+691361j
2010-08-16 00:17:00 UTC,+1326448.68513,+1.32645e+06+699607j
2010-08-16 00:17:30 UTC,+1369605.3205,+1.36961e+06+720317j
2010-08-16 00:18:00 UTC,+1309710.59794,+1.30971e+06+695920j
2010-08-16 00:18:30 UTC,+1305704.45511,+1.3057e+06+695744j
2010-08-16 00:19:00 UTC,+1270851.13387,+1.27085e+06+681493j
2010-08-16 00:19:30 UTC,+1267554.18336,+1.26755e+06+680800j
2010-08-16 00:20:00 UTC,+1256804.65062,+1.2568e+06+672501j
2010-08-16 00:20:30 UTC,+1341295.23272,+1.3413e+06+710763j
2010-08-16 00:21:00 UTC,+1260144.38987,+1.26014e+06+676454j
2010-08-16 00:21:30 UTC,+1235802.73186,+1.2358e+06+664026j
2010-08-16 00:22:00 UTC,+1204421.01851,+1.20442e+06+650357j
2010-08-16 00:22:30 UTC,+1199745.71606,+1.19975e+06+647423j
2010-08-16 00:23:00 UTC,+1145835.78389,+1.14584e+06+623726j
2010-08-16 00:23:30 UTC,+1116210.27277,+1.11621e+06+610569j
2010-08-16 00:24:00 UTC,+1079819.21942,+1.07982e+06+595248j
