Cleared_time,market_id,ACOPF_solved,cleared_price_18,cleared_price_57,cleared_quantity_18 (kW),cleared_quantity_57 (kW),DG_7_output (kW),DG_152_output (kW),DG_18_output (kW),DG_57_output (kW),DG_56_output (kW),social_welfare ($),planned_SubstationP (kW),expected_SubstationP (kW),total_uncontrollable_loads (kW)
2018-01-27-20:32:47,1,True,29.0835829986,28.0835358276,9.89593951711,13.3795807882,50.0,30.0,20.0,20.0,40.0,5.99516287539,2135.299262,2135.299262,2122.7407272292107
2018-01-27-20:37:47,2,True,33.8321144929,31.5326017372,4.23694196283,40.4318641791,50.0,30.0,20.0,20.0,40.0,4.95000727242,1583.912033,1583.912033,1236.4966132493648
2018-01-27-20:42:47,3,True,32.8971113104,30.2899479445,10.7677904819,26.5886975167,50.0,30.0,20.0,20.0,40.0,5.37245277711,1485.233044,1485.233044,1161.4400578664481
2018-01-27-20:47:47,4,True,31.9186797472,30.8024009647,14.4506245639,39.5290091145,54.4614065626,30.0459841004,28.3664374537,20.5547650036,45.012767403,21.3341504612,1494.729177,1494.729177,1146.5365279870437
2018-01-27-20:52:47,5,True,34.1155270282,30.5921998839,24.6164413784,41.3859812829,50.0,30.0,20.0,20.0,40.0,4.00799177145,1513.439287,1513.439287,1125.8635858910736
2018-01-27-20:57:47,6,True,35.7783834895,30.5392160657,27.1656856049,37.6706078571,50.0,30.0,20.0,20.0,40.0,4.06550659309,1628.976483,1628.976483,1173.9763884418303
2018-01-27-21:02:47,7,True,37.4064796499,31.1321974965,20.0876091085,43.0943046078,50.0,30.0,20.0,20.0,40.0,4.15260495245,1615.02585,1615.02585,1175.7189859497569
2018-01-27-21:07:47,8,True,31.7510514927,31.101605933,27.1625202524,54.7645791006,50.0001115578,30.000152295,20.0001291365,20.0001106392,40.0000892752,3.25454575662,1626.675209,1626.675209,1149.4582183754935
2018-01-27-21:12:47,9,True,34.2484728118,31.1815227709,30.8715672128,69.0884576895,50.0002361741,30.0003214113,20.0002732989,20.0002337241,40.0001889855,2.44566553691,1647.661671,1647.661671,1166.8607673800316
2018-01-27-21:17:47,10,True,33.1355021498,28.9170472261,34.8613792337,58.8581953742,50.0,30.0,20.0,20.0,40.0,2.83656197763,1723.552264,1723.552264,1163.3107640218507
