$state_name=Hawaii
$city_name=Oahu
$lat_deg=21
$lat_min=28
$long_deg=-157
$long_min=59
$timezone_offset=-8
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global
08:15:5:0:0,75,0.64,8.1,0,0,0
08:15:5:0:3,75,0.64,8.1,0,0,0
08:15:5:0:6,75,0.64,8.1,0,0,0
08:15:5:0:9,75,0.64,8.1,0,0,0
08:15:5:0:12,75,0.64,8.1,0,0,0
08:15:5:0:15,75,0.64,8.1,0,0,0
08:15:5:0:18,75,0.64,8.1,0,0,0
08:15:5:0:21,75,0.64,8.1,0,0,0
08:15:5:0:24,75,0.64,8.1,0,0,0
08:15:5:0:27,75,0.64,8.1,0,0,0
08:15:5:0:30,75,0.64,8.1,0,0,0
08:15:5:0:33,75,0.64,8.1,0,0,0
08:15:5:0:36,75,0.64,8.1,0,0,0
08:15:5:0:39,75,0.64,8.1,0,0,0
08:15:5:0:42,75,0.64,8.1,0,0,0
08:15:5:0:45,75,0.64,8.1,0,0,0
08:15:5:0:48,75,0.64,8.1,0,0,0
08:15:5:0:51,75,0.64,8.1,0,0,0
08:15:5:0:54,75,0.64,8.1,0,0,0
08:15:5:0:57,75,0.64,8.1,0,0,0
08:15:5:1:0,75,0.64,8.1,0,0,0
08:15:5:1:3,75,0.64,8.1,0,0,0
08:15:5:1:6,75,0.64,8.1,0,0,0
08:15:5:1:9,75,0.64,8.1,0,0,0
08:15:5:1:12,75,0.64,8.1,0,0,0
08:15:5:1:15,75,0.64,8.1,0,0,0
08:15:5:1:18,75,0.64,8.1,0,0,0
08:15:5:1:21,75,0.64,8.1,0,0,0
08:15:5:1:24,75,0.64,8.1,0,0,0
08:15:5:1:27,75,0.64,8.1,0,0,0
08:15:5:1:30,75,0.64,8.1,0,0,0
08:15:5:1:33,75,0.64,8.1,0,0,0
08:15:5:1:36,75,0.64,8.1,0,0,0
08:15:5:1:39,75,0.64,8.1,0,0,0
08:15:5:1:42,75,0.64,8.1,0,0,0
08:15:5:1:45,75,0.64,8.1,0,0,0
08:15:5:1:48,75,0.64,8.1,0,0,0
08:15:5:1:51,75,0.64,8.1,0,0,0
08:15:5:1:54,75,0.64,8.1,0,0,0
08:15:5:1:57,75,0.64,8.1,0,0,0
08:15:5:2:0,75,0.64,8.1,0,0,0
08:15:5:2:3,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:2:6,75,0.64,8.1,0,0,0
08:15:5:2:9,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:2:12,75,0.64,8.1,0,0,0
08:15:5:2:15,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:2:18,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:2:21,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:2:24,75,0.64,8.1,0,0,0
08:15:5:2:27,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:2:30,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:2:33,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:2:36,75,0.64,8.1,0,0,0
08:15:5:2:39,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:2:42,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:2:45,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:2:48,75,0.64,8.1,0,0,0
08:15:5:2:51,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:2:54,75,0.64,8.1,0,0,0
08:15:5:2:57,75,0.64,8.1,0,0,0
08:15:5:3:0,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:3:3,75,0.64,8.1,0,0,0
08:15:5:3:6,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:3:9,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:3:12,75,0.64,8.1,0,0,0
08:15:5:3:15,75,0.64,8.1,0,0,0
08:15:5:3:18,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:3:21,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:3:24,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:3:27,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:3:30,75,0.64,8.1,0,0,0
08:15:5:3:33,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:3:36,75,0.64,8.1,0,0,0
08:15:5:3:39,75,0.64,8.1,0,0,0
08:15:5:3:42,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:3:45,75,0.64,8.1,0.07621279,0.07621279,0
08:15:5:3:48,75,0.64,8.1,0,0,0
08:15:5:3:51,75,0.64,8.1,0,0,0
08:15:5:3:54,75,0.64,8.1,0,0,0
08:15:5:3:57,75,0.64,8.1,0,0,0
08:15:5:4:0,75,0.64,8.1,0,0,0
08:15:5:4:3,75,0.64,8.1,0,0,0
08:15:5:4:6,75,0.64,8.1,0,0,0
08:15:5:4:9,75,0.64,8.1,0,0,0
08:15:5:4:12,75,0.64,8.1,0,0,0
08:15:5:4:15,75,0.64,8.1,0,0,0
08:15:5:4:18,75,0.64,8.1,0,0,0
08:15:5:4:21,75,0.64,8.1,0,0,0
08:15:5:4:24,75,0.64,8.1,0,0,0
08:15:5:4:27,75,0.64,8.1,0,0,0
08:15:5:4:30,75,0.64,8.1,0,0,0
08:15:5:4:33,75,0.64,8.1,0,0,0
08:15:5:4:36,75,0.64,8.1,0,0,0
08:15:5:4:39,75,0.64,8.1,0,0,0
08:15:5:4:42,75,0.64,8.1,0,0,0
08:15:5:4:45,75,0.64,8.1,0,0,0
08:15:5:4:48,75,0.64,8.1,0,0,0
08:15:5:4:51,75,0.64,8.1,0,0,0
08:15:5:4:54,75,0.64,8.1,0,0,0
08:15:5:4:57,75,0.64,8.1,0,0,0
08:15:5:5:0,75,0.64,8.1,0,0,0
08:15:5:5:3,75,0.64,8.1,0,0,0
08:15:5:5:6,75,0.64,8.1,0,0,0
08:15:5:5:9,75,0.64,8.1,0,0,0
08:15:5:5:12,75,0.64,8.1,0,0,0
08:15:5:5:15,75,0.64,8.1,0,0,0
08:15:5:5:18,75,0.64,8.1,0,0,0
08:15:5:5:21,75,0.64,8.1,0,0,0
08:15:5:5:24,75,0.64,8.1,0,0,0
08:15:5:5:27,75,0.64,8.1,0,0,0
08:15:5:5:30,75,0.64,8.1,0,0,0
08:15:5:5:33,75,0.64,8.1,0,0,0
08:15:5:5:36,75,0.64,8.1,0,0,0
08:15:5:5:39,75,0.64,8.1,0,0,0
