#time	topic	value
500	GLD1/fncs_output	{"GLD1":{"ROOT":{"distribution_load":"+7580821.23607+1901538.01369j VA","nominal_voltage":80000.0,"positive_sequence_voltage":"+76786-8545.48j V"},"regconfig6506321":{"regulation":0.10000000000000001,"tap_pos_A":10,"tap_pos_B":8,"tap_pos_C":11,"time_delay":30.0}}}

1500	GLD1/fncs_output	{"GLD1":{"ROOT":{"distribution_load":"+7580821.09838+1901538.06377j VA","nominal_voltage":80000.0,"positive_sequence_voltage":"+76786-8545.48j V"},"regconfig6506321":{"regulation":0.10000000000000001,"tap_pos_A":10,"tap_pos_B":8,"tap_pos_C":11,"time_delay":30.0}}}

2500	GLD1/fncs_output	{"GLD1":{"ROOT":{"distribution_load":"+7767392.83603+2346256.76051j VA","nominal_voltage":80000.0,"positive_sequence_voltage":"+76786-8545.48j V"},"regconfig6506321":{"regulation":0.10000000000000001,"tap_pos_A":10,"tap_pos_B":8,"tap_pos_C":11,"time_delay":30.0}}}

3500	GLD1/fncs_output	{"GLD1":{"ROOT":{"distribution_load":"+8190621.2696+2408900.86298j VA","nominal_voltage":80000.0,"positive_sequence_voltage":"+76786-8545.48j V"},"regconfig6506321":{"regulation":0.11000000000000001,"tap_pos_A":11,"tap_pos_B":8,"tap_pos_C":11,"time_delay":31.0}}}

4500	GLD1/fncs_output	{"GLD1":{"ROOT":{"distribution_load":"+8618546.08139+2499556.45903j VA","nominal_voltage":80000.0,"positive_sequence_voltage":"+76786-8545.48j V"},"regconfig6506321":{"regulation":0.12000000000000001,"tap_pos_A":10,"tap_pos_B":7,"tap_pos_C":12,"time_delay":32.0}}}

5500	GLD1/fncs_output	{"GLD1":{"ROOT":{"distribution_load":"+9049597.08362+2586403.64856j VA","nominal_voltage":80000.0,"positive_sequence_voltage":"+76786-8545.48j V"},"regconfig6506321":{"regulation":0.13,"tap_pos_A":10,"tap_pos_B":8,"tap_pos_C":11,"time_delay":33.0}}}

6500	GLD1/fncs_output	{"GLD1":{"ROOT":{"distribution_load":"+9053093.22017+2618940.87799j VA","nominal_voltage":80000.0,"positive_sequence_voltage":"+76786-8545.48j V"},"regconfig6506321":{"regulation":0.14000000000000001,"tap_pos_A":10,"tap_pos_B":9,"tap_pos_C":11,"time_delay":34.0}}}

7500	GLD1/fncs_output	{"GLD1":{"ROOT":{"distribution_load":"+8625361.48582+2574356.78033j VA","nominal_voltage":80000.0,"positive_sequence_voltage":"+76786-8545.48j V"},"regconfig6506321":{"regulation":0.13,"tap_pos_A":10,"tap_pos_B":8,"tap_pos_C":11,"time_delay":35.0}}}

8500	GLD1/fncs_output	{"GLD1":{"ROOT":{"distribution_load":"+8199240.33886+2515888.43925j VA","nominal_voltage":80000.0,"positive_sequence_voltage":"+76786-8545.48j V"},"regconfig6506321":{"regulation":0.12000000000000001,"tap_pos_A":9,"tap_pos_B":8,"tap_pos_C":12,"time_delay":34.0}}}

9500	GLD1/fncs_output	{"GLD1":{"ROOT":{"distribution_load":"+7775659.24701+2443094.20724j VA","nominal_voltage":80000.0,"positive_sequence_voltage":"+76786-8545.48j V"},"regconfig6506321":{"regulation":0.11000000000000001,"tap_pos_A":10,"tap_pos_B":8,"tap_pos_C":10,"time_delay":32.0}}}

10500	GLD1/fncs_output	{"GLD1":{"ROOT":{"distribution_load":"+7520468.06418+2398210.84396j VA","nominal_voltage":80000.0,"positive_sequence_voltage":"+76786-8545.48j V"},"regconfig6506321":{"regulation":0.10000000000000001,"tap_pos_A":10,"tap_pos_B":7,"tap_pos_C":11,"time_delay":31.0}}}

11500	GLD1/fncs_output	{"GLD1":{"ROOT":{"distribution_load":"+7349476.17489+2344093.92463j VA","nominal_voltage":80000.0,"positive_sequence_voltage":"+76786-8545.48j V"},"regconfig6506321":{"regulation":0.10000000000000001,"tap_pos_A":11,"tap_pos_B":8,"tap_pos_C":10,"time_delay":30.0}}}

