# file...... regulator_configuration.csv
# date...... Fri Dec  1 16:27:10 2017
# user...... yingying
# host...... (null)
# target.... regulator_configuration 23
# trigger... (none)
# interval.. 1
# limit..... 100000000
# timestamp,tap_pos_A, tap_pos_B, tap_pos_C, regulation, time_delay
2001-01-01 00:00:00 PST,10,8,11,+0.1,+30
2001-01-01 00:00:01 PST,10,8,11,+0.1,+30
2001-01-01 00:00:02 PST,10,8,11,+0.1,+30
2001-01-01 00:00:03 PST,11,8,11,+0.11,+31
2001-01-01 00:00:04 PST,10,7,12,+0.12,+32
2001-01-01 00:00:05 PST,10,8,11,+0.13,+33
2001-01-01 00:00:06 PST,10,9,11,+0.14,+34
2001-01-01 00:00:07 PST,10,8,11,+0.13,+35
2001-01-01 00:00:08 PST,9,8,12,+0.12,+34
2001-01-01 00:00:09 PST,10,8,10,+0.11,+32
2001-01-01 00:00:10 PST,10,7,11,+0.1,+31
