# file...... Output/Aggregator_2_line.csv
# date...... Sat Jan 27 20:27:53 2018
# user...... yingying
# host...... (null)
# target.... switch 318
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,power_out_real, power_out
2010-08-16 00:00:00 UTC,+310474.34925,+310474+79889.4j
2010-08-16 00:00:30 UTC,+356791.028112,+356791+98065.9j
2010-08-16 00:01:00 UTC,+411897.545868,+411898+119991j
2010-08-16 00:01:30 UTC,+444032.403075,+444032+132910j
2010-08-16 00:02:00 UTC,+477942.094108,+477942+146507j
2010-08-16 00:02:30 UTC,+487606.089591,+487606+150415j
2010-08-16 00:03:00 UTC,+529217.273532,+529217+166894j
2010-08-16 00:03:30 UTC,+512205.905991,+512206+160296j
2010-08-16 00:04:00 UTC,+529441.063407,+529441+167388j
2010-08-16 00:04:30 UTC,+511712.085117,+511712+160755j
2010-08-16 00:05:00 UTC,+476210.404474,+476210+147015j
2010-08-16 00:05:30 UTC,+378170.922792,+378171+108516j
2010-08-16 00:06:00 UTC,+353824.163229,+353824+99111.1j
2010-08-16 00:06:30 UTC,+335615.841882,+335616+92185.5j
2010-08-16 00:07:00 UTC,+306474.533188,+306475+80958.2j
2010-08-16 00:07:30 UTC,+302602.829594,+302603+79758.3j
2010-08-16 00:08:00 UTC,+291595.686384,+291596+75655.2j
2010-08-16 00:08:30 UTC,+289494.152102,+289494+75119.4j
2010-08-16 00:09:00 UTC,+281013.841044,+281014+71991.2j
2010-08-16 00:09:30 UTC,+274331.569891,+274332+69542.6j
2010-08-16 00:10:00 UTC,+272408.548158,+272409+69052.9j
2010-08-16 00:10:30 UTC,+271135.316774,+271135+68728.6j
2010-08-16 00:11:00 UTC,+270682.685922,+270683+68613.2j
2010-08-16 00:11:30 UTC,+269968.841508,+269969+68431.5j
2010-08-16 00:12:00 UTC,+268668.047679,+268668+68100.5j
2010-08-16 00:12:30 UTC,+267270.957184,+267271+67744.7j
2010-08-16 00:13:00 UTC,+266058.115658,+266058+67435.8j
2010-08-16 00:13:30 UTC,+266267.341828,+266267+67702j
2010-08-16 00:14:00 UTC,+264704.408656,+264704+67304.1j
2010-08-16 00:14:30 UTC,+263446.626993,+263447+66983.7j
2010-08-16 00:15:00 UTC,+260312.158136,+260312+66185.7j
2010-08-16 00:15:30 UTC,+258421.572375,+258422+65759.2j
2010-08-16 00:16:00 UTC,+256373.146977,+256373+65238.6j
2010-08-16 00:16:30 UTC,+254575.157726,+254575+64781.1j
2010-08-16 00:17:00 UTC,+256133.909307,+256134+65611.4j
2010-08-16 00:17:30 UTC,+254539.238022,+254539+65205.5j
2010-08-16 00:18:00 UTC,+250140.553251,+250141+63819.1j
2010-08-16 00:18:30 UTC,+249206.188673,+249206+63581.2j
2010-08-16 00:19:00 UTC,+249498.446381,+249498+63982.1j
2010-08-16 00:19:30 UTC,+245661.947804,+245662+62572j
2010-08-16 00:20:00 UTC,+244868.428383,+244868+62370.5j
2010-08-16 00:20:30 UTC,+244866.553269,+244867+62369.8j
2010-08-16 00:21:00 UTC,+248347.905875,+248348+63735.3j
2010-08-16 00:21:30 UTC,+246013.085873,+246013+62815.3j
2010-08-16 00:22:00 UTC,+246003.347536,+246003+62812.9j
2010-08-16 00:22:30 UTC,+245999.023675,+245999+62811.1j
2010-08-16 00:23:00 UTC,+246004.526913,+246005+62812.4j
2010-08-16 00:23:30 UTC,+247511.273803,+247511+63408.8j
2010-08-16 00:24:00 UTC,+249433.075899,+249433+64164.2j
2010-08-16 00:24:30 UTC,+249458.770296,+249459+64171j
2010-08-16 00:25:00 UTC,+249470.634274,+249471+64174.1j
2010-08-16 00:25:30 UTC,+247938.150162,+247938+63570.8j
2010-08-16 00:26:00 UTC,+247936.480034,+247936+63570.6j
2010-08-16 00:26:30 UTC,+247931.064706,+247931+63570.2j
2010-08-16 00:27:00 UTC,+247957.583439,+247958+63577j
2010-08-16 00:27:30 UTC,+242586.665107,+242587+61463.9j
2010-08-16 00:28:00 UTC,+246802.953557,+246803+63134.3j
2010-08-16 00:28:30 UTC,+246762.241983,+246762+63123.2j
2010-08-16 00:29:00 UTC,+246754.058342,+246754+63121j
2010-08-16 00:29:30 UTC,+246740.252945,+246740+63117.1j
2010-08-16 00:30:00 UTC,+249769.628874,+249770+64320.6j
2010-08-16 00:30:30 UTC,+245535.665391,+245536+62647.3j
2010-08-16 00:31:00 UTC,+245539.814732,+245540+62648.7j
2010-08-16 00:31:30 UTC,+245553.162904,+245553+62652.2j
2010-08-16 00:32:00 UTC,+245555.952033,+245556+62652.9j
2010-08-16 00:32:30 UTC,+242534.88711,+242535+61450.9j
2010-08-16 00:33:00 UTC,+242546.224138,+242546+61453.6j
2010-08-16 00:33:30 UTC,+242556.714931,+242557+61456.3j
2010-08-16 00:34:00 UTC,+242515.579148,+242516+61445.9j
2010-08-16 00:34:30 UTC,+242471.398283,+242471+61434.8j
2010-08-16 00:35:00 UTC,+242452.709508,+242453+61430.1j
2010-08-16 00:35:30 UTC,+242493.721902,+242494+61440.4j
2010-08-16 00:36:00 UTC,+242478.517136,+242479+61436.6j
2010-08-16 00:36:30 UTC,+242501.908334,+242502+61442.4j
2010-08-16 00:37:00 UTC,+242519.547441,+242520+61446.9j
2010-08-16 00:37:30 UTC,+248292.200498,+248292+63709.5j
2010-08-16 00:38:00 UTC,+248327.173933,+248327+63718.7j
2010-08-16 00:38:30 UTC,+248322.427525,+248322+63718.2j
2010-08-16 00:39:00 UTC,+248311.864132,+248312+63715.8j
2010-08-16 00:39:30 UTC,+248318.717155,+248319+63717.3j
2010-08-16 00:40:00 UTC,+250220.94115,+250221+64470.1j
2010-08-16 00:40:30 UTC,+248307.217965,+248307+63727.4j
