# file...... Output/total_feeder_load.csv
# date...... Sat Jan 27 20:27:53 2018
# user...... yingying
# host...... (null)
# target.... substation 29
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,distribution_load.real, distribution_load
2010-08-16 00:00:00 UTC,+1317531.30576,+1.31753e+06+357874j
2010-08-16 00:00:30 UTC,+1478944.51281,+1.47894e+06+426391j
2010-08-16 00:01:00 UTC,+1675512.26911,+1.67551e+06+512026j
2010-08-16 00:01:30 UTC,+1843858.2635,+1.84386e+06+585936j
2010-08-16 00:02:00 UTC,+1995840.49176,+1.99584e+06+653297j
2010-08-16 00:02:30 UTC,+2082760.55861,+2.08276e+06+692777j
2010-08-16 00:03:00 UTC,+2185758.3449,+2.18576e+06+738468j
2010-08-16 00:03:30 UTC,+2221595.59557,+2.2216e+06+755091j
2010-08-16 00:04:00 UTC,+2227323.21246,+2.22732e+06+758332j
2010-08-16 00:04:30 UTC,+2201083.99271,+2.20108e+06+748806j
2010-08-16 00:05:00 UTC,+1894553.47588,+1.89455e+06+679870j
2010-08-16 00:05:30 UTC,+1639261.49224,+1.63926e+06+569025j
2010-08-16 00:06:00 UTC,+1544054.85618,+1.54405e+06+527944j
2010-08-16 00:06:30 UTC,+1421701.77955,+1.4217e+06+475915j
2010-08-16 00:07:00 UTC,+1323449.74713,+1.32345e+06+434475j
2010-08-16 00:07:30 UTC,+1289169.78668,+1.28917e+06+420721j
2010-08-16 00:08:00 UTC,+1252293.82961,+1.25229e+06+405944j
2010-08-16 00:08:30 UTC,+1215256.4083,+1.21526e+06+391060j
2010-08-16 00:09:00 UTC,+1171327.30414,+1.17133e+06+373840j
2010-08-16 00:09:30 UTC,+1158272.15418,+1.15827e+06+369210j
2010-08-16 00:10:00 UTC,+1117892.01174,+1.11789e+06+353494j
2010-08-16 00:10:30 UTC,+1087698.15173,+1.0877e+06+342025j
2010-08-16 00:11:00 UTC,+1100017.49656,+1.10002e+06+347763j
2010-08-16 00:11:30 UTC,+1104447.31819,+1.10445e+06+350086j
2010-08-16 00:12:00 UTC,+1087869.71156,+1.08787e+06+344456j
2010-08-16 00:12:30 UTC,+1068543.49685,+1.06854e+06+337591j
2010-08-16 00:13:00 UTC,+1057988.73814,+1.05799e+06+333958j
2010-08-16 00:13:30 UTC,+1046782.48443,+1.04678e+06+330368j
2010-08-16 00:14:00 UTC,+1038294.77338,+1.03829e+06+327869j
2010-08-16 00:14:30 UTC,+1026165.78634,+1.02617e+06+323765j
2010-08-16 00:15:00 UTC,+1023190.964,+1.02319e+06+323609j
2010-08-16 00:15:30 UTC,+1025791.34008,+1.02579e+06+325786j
2010-08-16 00:16:00 UTC,+1024783.10437,+1.02478e+06+326150j
2010-08-16 00:16:30 UTC,+1007327.69619,+1.00733e+06+319687j
2010-08-16 00:17:00 UTC,+1017013.33055,+1.01701e+06+324956j
2010-08-16 00:17:30 UTC,+1019970.04121,+1.01997e+06+327183j
2010-08-16 00:18:00 UTC,+997697.992027,+997698+318842j
2010-08-16 00:18:30 UTC,+984381.469209,+984381+314116j
2010-08-16 00:19:00 UTC,+1002968.28285,+1.00297e+06+322775j
2010-08-16 00:19:30 UTC,+994108.355064,+994108+320236j
2010-08-16 00:20:00 UTC,+985106.952698,+985107+324618j
2010-08-16 00:20:30 UTC,+982410.068848,+982410+323603j
2010-08-16 00:21:00 UTC,+958731.690392,+958732+313804j
2010-08-16 00:21:30 UTC,+968401.082383,+968401+317871j
2010-08-16 00:22:00 UTC,+974231.088632,+974231+320331j
2010-08-16 00:22:30 UTC,+976861.623789,+976862+321203j
2010-08-16 00:23:00 UTC,+975203.491664,+975203+320539j
2010-08-16 00:23:30 UTC,+996830.124501,+996830+329304j
2010-08-16 00:24:00 UTC,+992919.693261,+992920+327517j
2010-08-16 00:24:30 UTC,+987887.00479,+987887+325318j
2010-08-16 00:25:00 UTC,+990175.388522,+990175+318896j
