# file...... load_l675.csv
# date...... Fri Mar 10 03:52:55 2017
# user...... huan495
# host...... (null)
# target.... load 54
# trigger... (none)
# interval.. 1
# limit..... 100000000
# timestamp,constant_power_A, constant_power_B, constant_power_C
2001-01-01 00:00:00 PST,+485000+99000j,+468000+60000j,+429000+92000j
2001-01-01 00:00:01 PST,+485000+99000j,+468000+60000j,+429000+92000j
2001-01-01 00:00:02 PST,+385000+210000j,+385000+220000j,+385000+220000j
2001-01-01 00:00:03 PST,+386000+220000j,+385000+210000j,+385000+220000j
2001-01-01 00:00:04 PST,+387000+230000j,+386000+220000j,+385000+220000j
2001-01-01 00:00:05 PST,+388000+240000j,+387000+230000j,+385000+210000j
2001-01-01 00:00:06 PST,+389000+250000j,+388000+240000j,+386000+220000j
2001-01-01 00:00:07 PST,+388000+260000j,+389000+250000j,+387000+230000j
2001-01-01 00:00:08 PST,+387000+250000j,+388000+260000j,+388000+240000j
2001-01-01 00:00:09 PST,+386000+240000j,+387000+250000j,+389000+250000j
2001-01-01 00:00:10 PST,+385000+230000j,+386000+240000j,+388000+260000j
