Cleared_time,market_id,ACOPF_solved,cleared_price,cleared_quantity,cleared_DG1_output (kW),cleared_DG2_output (kW),social_welfare ($),planned_SubstationP (kW),expected_SubstationP (kW),total_uncontrollable_loads
2017-11-06-21:13:35,1,True,41.7663586031,0.00130549447727,136.919190725,88.2607019679,12.488914395,1921.76933598,1921.76933598,2131.2081840178903
2017-11-06-21:18:35,2,True,58.0039582052,0.00144715632615,93.5941307046,53.0675500157,6.72907966399,1410.4183068,1410.4183068,1548.4649434252997
2017-11-06-21:23:35,3,True,0.0,0.0,84.0585187957,45.3287024767,5.69099379331,1295.93009574,1295.93009574,1418.0805258258
2017-11-06-21:28:35,4,True,0.0,0.0,91.4637527679,51.3138666675,6.48852831475,1296.44395155,1296.44395155,1432.1369860766
2017-11-06-21:33:35,5,True,0.0,0.0,91.3368994679,51.2262835031,6.47536697239,1307.62751562,1307.62751562,1442.8451377274998
2017-11-06-21:38:35,6,True,0.0,0.0,109.434305223,65.8867401422,8.63375227619,1424.97853434,1424.97853434,1591.7985780674999
2017-11-06-21:43:35,7,True,0.0,0.0,91.7797000797,51.6032634316,6.52584724873,1419.08293503,1419.08293503,1554.0859297422999
2017-11-06-21:48:35,8,True,0.0,0.0,121.772287771,75.8828237921,10.2755342168,1438.56976806,1438.56976806,1627.2618926715002
2017-11-06-21:53:35,9,True,0.0,0.0,85.1254568148,46.2120596505,5.8041338895,1436.12832852,1436.12832852,1558.7362647422003
2017-11-06-21:58:35,10,True,0.0,0.0,116.07848175,71.2762251741,9.50117796962,1495.90780587,1495.90780587,1673.7072917805
2017-11-06-22:03:35,11,True,0.0,0.0,90.4681958804,50.5725796001,6.38230519928,1476.39979359,1476.39979359,1608.0661695940998
2017-11-06-22:08:35,12,True,0.0,0.0,103.278844335,60.8923106187,7.86573211779,1396.68500655,1396.68500655,1552.6693959102001
2017-11-06-22:13:35,13,True,0.0,0.0,103.483951907,61.1030732334,7.89377160813,1506.15339615,1506.15339615,1660.9312840087
2017-11-06-22:18:35,14,True,0.0,0.0,114.769553916,70.1889598621,9.32524808845,1359.4537188,1359.4537188,1536.4829227487
2017-11-06-22:23:35,15,True,0.0,0.0,125.742030417,79.0372497423,10.8282821893,1284.26846607,1284.26846607,1481.879636652
2017-11-06-22:28:35,16,True,0.0,0.0,71.5168302539,35.1699657878,4.45235379459,1245.81732687,1245.81732687,1345.9950358723
2017-11-06-22:33:35,17,True,0.0,0.0,96.9702653881,55.7511529998,7.11289383261,1197.26831502,1197.26831502,1343.8442774379
2017-11-06-22:38:35,18,True,0.0,0.0,102.053827225,59.8410065109,7.71318270662,1102.09467726,1102.09467726,1258.7008288398001
2017-11-06-22:43:35,19,True,0.0,0.0,107.685213968,64.3746600036,8.40552934329,1061.03756772,1061.03756772,1228.3643205309002
2017-11-06-22:48:35,20,True,0.0,0.0,69.2342632289,33.2723251043,4.23978500534,959.40113553,959.40113553,1057.9780157946
2017-11-06-22:53:35,21,True,0.0,0.0,79.5808309408,41.6248054727,5.22814018244,928.36486809,928.36486809,1045.8213597744
2017-11-06-22:58:35,22,True,0.0,0.0,69.4708339227,33.4478143978,4.26052066009,927.61822872,927.61822872,1026.9037874368
2017-11-06-23:03:35,23,True,0.0,0.0,65.724721964,30.4279565614,3.92598209286,931.87514412,931.87514412,1024.3108245317
2017-11-06-23:08:35,24,True,0.0,0.0,58.6591354482,24.7145110541,3.32870153722,905.56791957,905.56791957,985.4402106313
2017-11-06-23:13:35,25,True,0.0,0.0,66.2992469841,30.8787195336,3.97586303658,872.4611547,872.4611547,966.3693353580801
2017-11-06-23:18:35,26,True,0.0,0.0,63.6399716589,28.7313896685,3.74453849939,870.50548503,870.50548503,959.6069749346001
2017-11-06-23:23:35,27,True,0.0,0.0,64.0250382121,29.0453465707,3.77778318943,870.72818661,870.72818661,960.5257205976
2017-11-06-23:28:35,28,True,0.0,0.0,75.9901251154,38.6991694479,4.87275801611,837.66046356,837.66046356,949.3352820716001
2017-11-06-23:33:35,29,True,0.0,0.0,54.8794533274,21.6673102253,3.02872851072,890.15121045,890.15121045,963.2973617609
2017-11-06-23:38:35,30,True,0.0,0.0,70.632751961,34.4021787665,4.36776202533,938.0769588,938.0769588,1039.32512481531
2017-11-06-23:43:35,31,True,0.0,0.0,68.1217875735,32.3712223203,4.13913081179,946.40792967,946.40792967,1043.1228641766
2017-11-06-23:48:35,32,True,0.0,0.0,65.7676464926,30.475055256,3.93034876196,989.35832871,989.35832871,1081.3838276666
2017-11-06-23:53:35,33,True,0.0,0.0,92.8427570051,52.3645160055,6.63857253059,978.90724629,978.90724629,1120.012088226
