# file...... Output/Aggregator_1_line.csv
# date...... Mon Nov  6 21:08:35 2017
# user...... yingying
# host...... (null)
# target.... overhead_line 75
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,power_out_real, power_out
2010-08-16 00:00:00 UTC,+116158.238372,+116158+29840.6j
2010-08-16 00:00:30 UTC,+143828.687553,+143829+40685j
2010-08-16 00:01:00 UTC,+173239.913556,+173240+52183.4j
2010-08-16 00:01:30 UTC,+180162.50891,+180163+55006.5j
2010-08-16 00:02:00 UTC,+194413.125583,+194413+60770.1j
2010-08-16 00:02:30 UTC,+208582.005584,+208582+66396.1j
2010-08-16 00:03:00 UTC,+212074.694872,+212075+67768.1j
2010-08-16 00:03:30 UTC,+226136.77161,+226137+73351.5j
2010-08-16 00:04:00 UTC,+213543.702229,+213544+68566.7j
2010-08-16 00:04:30 UTC,+213271.760847,+213272+68542j
2010-08-16 00:05:00 UTC,+165120.111874,+165120+49731.5j
2010-08-16 00:05:30 UTC,+138811.48602,+138811+39487.6j
2010-08-16 00:06:00 UTC,+127364.577716,+127365+35048.8j
2010-08-16 00:06:30 UTC,+126587.587291,+126588+34855.1j
2010-08-16 00:07:00 UTC,+117780.940821,+117781+31421.7j
2010-08-16 00:07:30 UTC,+113357.891233,+113358+29725.3j
2010-08-16 00:08:00 UTC,+112825.37954,+112825+29592.4j
2010-08-16 00:08:30 UTC,+112239.311141,+112239+29446.4j
2010-08-16 00:09:00 UTC,+111274.433871,+111274+29203j
2010-08-16 00:09:30 UTC,+111074.221092,+111074+29154.4j
2010-08-16 00:10:00 UTC,+102572.723611,+102573+25886.1j
2010-08-16 00:10:30 UTC,+101984.037545,+101984+25737.4j
2010-08-16 00:11:00 UTC,+101488.873849,+101489+25612.3j
2010-08-16 00:11:30 UTC,+101112.85794,+101113+25517.3j
2010-08-16 00:12:00 UTC,+99712.8523108,+99712.9+25163.2j
2010-08-16 00:12:30 UTC,+99259.0418229,+99259+25048.4j
2010-08-16 00:13:00 UTC,+98873.1250908,+98873.1+24951j
2010-08-16 00:13:30 UTC,+98409.5341488,+98409.5+24833.8j
2010-08-16 00:14:00 UTC,+97597.6510411,+97597.7+24628.8j
2010-08-16 00:14:30 UTC,+96242.3472515,+96242.3+24286.8j
2010-08-16 00:15:00 UTC,+95702.2775083,+95702.3+24150.5j
2010-08-16 00:15:30 UTC,+95083.6321825,+95083.6+23994j
2010-08-16 00:16:00 UTC,+95048.5163699,+95048.5+23985.1j
2010-08-16 00:16:30 UTC,+94441.2987983,+94441.3+23831.9j
2010-08-16 00:17:00 UTC,+94423.0548593,+94423.1+23827.3j
2010-08-16 00:17:30 UTC,+94225.178457,+94225.2+23777.2j
2010-08-16 00:18:00 UTC,+92874.2360391,+92874.2+23436.3j
2010-08-16 00:18:30 UTC,+92231.1958266,+92231.2+23274j
2010-08-16 00:19:00 UTC,+91692.0971246,+91692.1+23137.8j
2010-08-16 00:19:30 UTC,+90579.9443341,+90579.9+22857.1j
2010-08-16 00:20:00 UTC,+89995.7997778,+89995.8+22709.7j
2010-08-16 00:20:30 UTC,+89991.1968337,+89991.2+22708.5j
2010-08-16 00:21:00 UTC,+89998.1603375,+89998.2+22710.3j
2010-08-16 00:21:30 UTC,+89969.107392,+89969.1+22702.9j
2010-08-16 00:22:00 UTC,+89977.2068407,+89977.2+22705j
2010-08-16 00:22:30 UTC,+89991.9016073,+89991.9+22708.7j
2010-08-16 00:23:00 UTC,+90001.3966565,+90001.4+22711.1j
2010-08-16 00:23:30 UTC,+89988.625716,+89988.6+22707.9j
2010-08-16 00:24:00 UTC,+89991.7238919,+89991.7+22708.7j
