# file...... Output/Aggregator_2_line.csv
# date...... Sun Nov  5 18:22:52 2017
# user...... yingying
# host...... (null)
# target.... overhead_line 170
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,power_out_real, power_out
2010-08-16 00:00:00 UTC,+310335.590831,+310336+79603.3j
2010-08-16 00:00:30 UTC,+356606.958821,+356607+97685.2j
2010-08-16 00:01:00 UTC,+411637.59412,+411638+119448j
2010-08-16 00:01:30 UTC,+443733.79179,+443734+132290j
2010-08-16 00:02:00 UTC,+477584.853728,+477585+145758j
2010-08-16 00:02:30 UTC,+487230.778359,+487231+149628j
2010-08-16 00:03:00 UTC,+528777.773258,+528778+165976j
2010-08-16 00:03:30 UTC,+511795.810745,+511796+159439j
2010-08-16 00:04:00 UTC,+529001.637388,+529002+166470j
2010-08-16 00:04:30 UTC,+511308.358834,+511308+159912j
2010-08-16 00:05:00 UTC,+475401.201673,+475401+146093j
2010-08-16 00:05:30 UTC,+472799.456285,+472799+145267j
2010-08-16 00:06:00 UTC,+458333.226792,+458333+139837j
2010-08-16 00:06:30 UTC,+430244.157207,+430244+129081j
2010-08-16 00:07:00 UTC,+433195.592707,+433196+130547j
2010-08-16 00:07:30 UTC,+427019.150541,+427019+128466j
2010-08-16 00:08:00 UTC,+413436.434751,+413436+123383j
2010-08-16 00:08:30 UTC,+405302.610415,+405303+120480j
2010-08-16 00:09:00 UTC,+399174.134085,+399174+118301j
2010-08-16 00:09:30 UTC,+389866.581777,+389867+114829j
2010-08-16 00:10:00 UTC,+384119.533935,+384120+112824j
2010-08-16 00:10:30 UTC,+359474.761828,+359475+103303j
2010-08-16 00:11:00 UTC,+359379.514658,+359380+103308j
2010-08-16 00:11:30 UTC,+351376.536069,+351377+100259j
2010-08-16 00:12:00 UTC,+345465.951146,+345466+98127.2j
2010-08-16 00:12:30 UTC,+356672.547637,+356673+102725j
2010-08-16 00:13:00 UTC,+348606.201859,+348606+99726.9j
2010-08-16 00:13:30 UTC,+356126.362194,+356126+102855j
2010-08-16 00:14:00 UTC,+346921.617758,+346922+99462.9j
2010-08-16 00:14:30 UTC,+334983.190388,+334983+94976.3j
2010-08-16 00:15:00 UTC,+346732.518049,+346733+100006j
2010-08-16 00:15:30 UTC,+334502.335179,+334502+95526.1j
2010-08-16 00:16:00 UTC,+364600.750284,+364601+107634j
2010-08-16 00:16:30 UTC,+347442.351834,+347442+101161j
2010-08-16 00:17:00 UTC,+339804.359438,+339804+98365.7j
2010-08-16 00:17:30 UTC,+340521.865871,+340522+98864.6j
2010-08-16 00:18:00 UTC,+352194.992644,+352195+103808j
2010-08-16 00:18:30 UTC,+331411.12437,+331411+95769.6j
2010-08-16 00:19:00 UTC,+349285.597927,+349286+103091j
2010-08-16 00:19:30 UTC,+343557.228433,+343557+100922j
2010-08-16 00:20:00 UTC,+332029.967402,+332030+96501j
2010-08-16 00:20:30 UTC,+338525.619148,+338526+99027.1j
2010-08-16 00:21:00 UTC,+332766.761829,+332767+96764.4j
2010-08-16 00:21:30 UTC,+340758.613261,+340759+99892.5j
2010-08-16 00:22:00 UTC,+343419.022586,+343419+100924j
2010-08-16 00:22:30 UTC,+350267.341119,+350267+103628j
2010-08-16 00:23:00 UTC,+342641.689602,+342642+100635j
2010-08-16 00:23:30 UTC,+342977.122616,+342977+100781j
2010-08-16 00:24:00 UTC,+339954.304805,+339954+99608.2j
2010-08-16 00:24:30 UTC,+315875.551303,+315876+90155j
2010-08-16 00:25:00 UTC,+338860.858092,+338861+99160.7j
2010-08-16 00:25:30 UTC,+337748.943502,+337749+98738.2j
2010-08-16 00:26:00 UTC,+366850.078897,+366850+110167j
2010-08-16 00:26:30 UTC,+386760.927446,+386761+117982j
2010-08-16 00:27:00 UTC,+402860.37311,+402860+124316j
2010-08-16 00:27:30 UTC,+420469.202679,+420469+131242j
2010-08-16 00:28:00 UTC,+413915.21927,+413915+128669j
2010-08-16 00:28:30 UTC,+406528.190798,+406528+125745j
2010-08-16 00:29:00 UTC,+412610.49661,+412610+128147j
2010-08-16 00:29:30 UTC,+391600.489368,+391600+119876j
2010-08-16 00:30:00 UTC,+363995.978442,+363996+109048j
2010-08-16 00:30:30 UTC,+348298.798562,+348299+102876j
2010-08-16 00:31:00 UTC,+359000.697806,+359001+107067j
2010-08-16 00:31:30 UTC,+343755.494304,+343755+101101j
2010-08-16 00:32:00 UTC,+339896.498314,+339896+99591.1j
2010-08-16 00:32:30 UTC,+344177.742858,+344178+101285j
2010-08-16 00:33:00 UTC,+340026.974705,+340027+99647.4j
2010-08-16 00:33:30 UTC,+353873.494345,+353873+105096j
2010-08-16 00:34:00 UTC,+333205.471797,+333205+96979.2j
2010-08-16 00:34:30 UTC,+341533.429518,+341533+100256j
2010-08-16 00:35:00 UTC,+344966.133027,+344966+101603j
2010-08-16 00:35:30 UTC,+365309.323523,+365309+109569j
2010-08-16 00:36:00 UTC,+362576.74746,+362577+108476j
2010-08-16 00:36:30 UTC,+361478.102516,+361478+108041j
2010-08-16 00:37:00 UTC,+373430.661552,+373431+112730j
2010-08-16 00:37:30 UTC,+382620.730757,+382621+116300j
2010-08-16 00:38:00 UTC,+367334.378347,+367334+110299j
2010-08-16 00:38:30 UTC,+368164.618536,+368165+110630j
2010-08-16 00:39:00 UTC,+372360.646884,+372361+112267j
2010-08-16 00:39:30 UTC,+378495.297178,+378495+114701j
2010-08-16 00:40:00 UTC,+391957.537067,+391958+119977j
2010-08-16 00:40:30 UTC,+391623.489566,+391623+119843j
2010-08-16 00:41:00 UTC,+382400.474807,+382400+116226j
2010-08-16 00:41:30 UTC,+405438.659227,+405439+125230j
2010-08-16 00:42:00 UTC,+400198.260225,+400198+123168j
2010-08-16 00:42:30 UTC,+414758.109816,+414758+128867j
2010-08-16 00:43:00 UTC,+423611.129002,+423611+132340j
2010-08-16 00:43:30 UTC,+407407.989059,+407408+126000j
2010-08-16 00:44:00 UTC,+389461.950971,+389462+118967j
2010-08-16 00:44:30 UTC,+381002.499602,+381002+115635j
2010-08-16 00:45:00 UTC,+388616.802609,+388617+118633j
2010-08-16 00:45:30 UTC,+380560.341538,+380560+115451j
2010-08-16 00:46:00 UTC,+384414.078057,+384414+116967j
2010-08-16 00:46:30 UTC,+404281.221273,+404281+124753j
2010-08-16 00:47:00 UTC,+400443.015697,+400443+123266j
2010-08-16 00:47:30 UTC,+401239.235723,+401239+123576j
2010-08-16 00:48:00 UTC,+411111.74999,+411112+127438j
2010-08-16 00:48:30 UTC,+419245.692823,+419246+130667j
2010-08-16 00:49:00 UTC,+434268.295326,+434268+136581j
2010-08-16 00:49:30 UTC,+429282.943198,+429283+134627j
2010-08-16 00:50:00 UTC,+407861.944759,+407862+126222j
2010-08-16 00:50:30 UTC,+423606.205557,+423606+132382j
2010-08-16 00:51:00 UTC,+417074.053061,+417074+129801j
2010-08-16 00:51:30 UTC,+404862.612921,+404863+124974j
2010-08-16 00:52:00 UTC,+403674.235129,+403674+124487j
