# file...... Output/DG_152.csv
# date...... Fri Oct 27 17:25:51 2017
# user...... yingying
# host...... (null)
# target.... load 14
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,constant_power_A_real,constant_power_B_real,constant_power_C_real
2010-08-16 00:00:00 UTC,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0
