# file...... Output/DG_57.csv
# date...... Mon Oct 30 23:38:49 2017
# user...... yingying
# host...... (null)
# target.... load 11
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,constant_power_A_real,constant_power_B_real,constant_power_C_real
2010-08-16 00:00:00 UTC,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0
