# file...... Output/regulator_16067010.csv
# date...... Mon Oct 30 23:38:49 2017
# user...... yingying
# host...... (null)
# target.... regulator 326
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,tap_A,tap_B,tap_C,tap_A_change_count,tap_B_change_count,tap_C_change_count
2010-08-16 00:00:00 UTC,4,4,4,+0,+0,+0
2010-08-16 00:00:30 UTC,4,4,4,+0,+0,+0
2010-08-16 00:01:00 UTC,4,4,4,+0,+0,+0
2010-08-16 00:01:30 UTC,4,4,4,+0,+0,+0
2010-08-16 00:02:00 UTC,5,4,4,+1,+0,+0
2010-08-16 00:02:30 UTC,5,4,4,+1,+0,+0
2010-08-16 00:03:00 UTC,5,4,4,+1,+0,+0
2010-08-16 00:03:30 UTC,5,5,4,+1,+1,+0
2010-08-16 00:04:00 UTC,6,5,5,+2,+1,+1
2010-08-16 00:04:30 UTC,6,5,5,+2,+1,+1
2010-08-16 00:05:00 UTC,6,5,5,+2,+1,+1
2010-08-16 00:05:30 UTC,6,5,5,+2,+1,+1
2010-08-16 00:06:00 UTC,6,5,6,+2,+1,+2
2010-08-16 00:06:30 UTC,6,5,6,+2,+1,+2
2010-08-16 00:07:00 UTC,6,5,6,+2,+1,+2
2010-08-16 00:07:30 UTC,6,5,6,+2,+1,+2
