# file...... Output/total_feeder_load.csv
# date...... Mon Nov  6 21:08:35 2017
# user...... yingying
# host...... (null)
# target.... substation 20
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,distribution_load.real, distribution_load
2010-08-16 00:00:00 UTC,+1317531.30576,+1.31753e+06+357874j
2010-08-16 00:00:30 UTC,+1478944.51281,+1.47894e+06+426391j
2010-08-16 00:01:00 UTC,+1675512.26911,+1.67551e+06+512026j
2010-08-16 00:01:30 UTC,+1843858.2635,+1.84386e+06+585936j
2010-08-16 00:02:00 UTC,+1995840.49176,+1.99584e+06+653297j
2010-08-16 00:02:30 UTC,+2082760.55861,+2.08276e+06+692777j
2010-08-16 00:03:00 UTC,+2185758.3449,+2.18576e+06+738468j
2010-08-16 00:03:30 UTC,+2221595.59557,+2.2216e+06+755091j
2010-08-16 00:04:00 UTC,+2227323.21246,+2.22732e+06+758332j
2010-08-16 00:04:30 UTC,+2201083.99271,+2.20108e+06+748806j
2010-08-16 00:05:00 UTC,+2004784.1615,+2.00478e+06+698698j
2010-08-16 00:05:30 UTC,+1946608.48175,+1.94661e+06+674642j
2010-08-16 00:06:00 UTC,+1930485.00162,+1.93049e+06+668511j
2010-08-16 00:06:30 UTC,+1833189.98748,+1.83319e+06+626765j
2010-08-16 00:07:00 UTC,+1813189.82599,+1.81319e+06+618395j
2010-08-16 00:07:30 UTC,+1790646.5119,+1.79065e+06+609516j
2010-08-16 00:08:00 UTC,+1719758.63751,+1.71976e+06+579634j
2010-08-16 00:08:30 UTC,+1642835.96962,+1.64284e+06+546430j
2010-08-16 00:09:00 UTC,+1579338.42619,+1.57934e+06+520420j
2010-08-16 00:09:30 UTC,+1539499.66943,+1.5395e+06+503645j
2010-08-16 00:10:00 UTC,+1513486.26614,+1.51349e+06+479633j
2010-08-16 00:10:30 UTC,+1455468.68862,+1.45547e+06+456466j
2010-08-16 00:11:00 UTC,+1456824.63106,+1.45682e+06+457719j
2010-08-16 00:11:30 UTC,+1455876.38374,+1.45588e+06+457833j
2010-08-16 00:12:00 UTC,+1442210.54101,+1.44221e+06+452901j
2010-08-16 00:12:30 UTC,+1449406.93581,+1.44941e+06+457018j
2010-08-16 00:13:00 UTC,+1408297.58489,+1.4083e+06+439869j
2010-08-16 00:13:30 UTC,+1407533.95889,+1.40753e+06+440259j
2010-08-16 00:14:00 UTC,+1383316.80583,+1.38332e+06+430632j
2010-08-16 00:14:30 UTC,+1369767.12041,+1.36977e+06+426105j
2010-08-16 00:15:00 UTC,+1394140.84556,+1.39414e+06+434435j
2010-08-16 00:15:30 UTC,+1386286.87216,+1.38629e+06+432405j
2010-08-16 00:16:00 UTC,+1421853.31395,+1.42185e+06+448071j
2010-08-16 00:16:30 UTC,+1408759.94064,+1.40876e+06+443763j
2010-08-16 00:17:00 UTC,+1411168.80852,+1.41117e+06+446139j
2010-08-16 00:17:30 UTC,+1403548.20768,+1.40355e+06+443839j
2010-08-16 00:18:00 UTC,+1415123.56162,+1.41512e+06+449839j
2010-08-16 00:18:30 UTC,+1370552.21255,+1.37055e+06+432070j
2010-08-16 00:19:00 UTC,+1415103.82503,+1.4151e+06+451807j
2010-08-16 00:19:30 UTC,+1398391.69812,+1.39839e+06+445697j
2010-08-16 00:20:00 UTC,+1388664.46115,+1.38866e+06+444549j
2010-08-16 00:20:30 UTC,+1379679.81076,+1.37968e+06+440730j
2010-08-16 00:21:00 UTC,+1375454.23314,+1.37545e+06+439782j
2010-08-16 00:21:30 UTC,+1399205.7864,+1.39921e+06+450191j
2010-08-16 00:22:00 UTC,+1402324.02957,+1.40232e+06+451290j
2010-08-16 00:22:30 UTC,+1426742.62346,+1.42674e+06+461196j
2010-08-16 00:23:00 UTC,+1419019.8764,+1.41902e+06+457913j
2010-08-16 00:23:30 UTC,+1444651.97546,+1.44465e+06+468912j
2010-08-16 00:24:00 UTC,+1425191.23225,+1.42519e+06+460619j
